skew_type	skew_bin	ccre_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint	frac_conserved	frac_conserved_se	frac_conserved_lci	frac_conserved_uci
K562_skew	[-0.2,-0.05)	dELS	10360293	10357149	4669737.991	8487382.283433	10344572	-480421.0374391456	25885073.795922637	504624	842515	1546921	0.04878152522888332	6.697482114437846e-5	0.04865025457944034	0.0489127958783263
K562_skew	[-0.2,-0.05)	non-cCRE	39462481	39443915	16633371.497999985	31445447.22477799	39022000	-7046441.370340482	51693912.50325221	532575	1130698	306589	0.013648070319307058	1.8573630978280655e-5	0.013611666002589628	0.013684474636024489
K562_skew	[-0.2,-0.05)	pELS	1651046	1649307	606714.95	929914.039806	1648952	105820.18400666212	4748026.639043344	107550	399041	351956	0.06522324482459162	1.9228754105389477e-4	0.06484636124412599	0.06560012840505725
K562_skew	[-0.5,-0.2)	Other cCREs	934359	933555	469809.035	903384.778187	928710	-182896.8576934932	1580752.24997662	20084	37143	75379	0.021625695857695082	1.5093762198787206e-4	0.021329858118598853	0.02192153359679131
K562_skew	[-0.5,-0.2)	PLS	169681	169474	43476.009	43825.554171	169583	167486.6029719647	1284062.6366893414	38601	62322	89361	0.22762305183892254	0.0010181965374165252	0.22562738662558615	0.22961871705225892
K562_skew	[-0.5,-0.2)	dELS	2716152	2715064	1355131.443	2514826.199375	2711671	-190423.89301352415	7239456.212905698	137770	248153	594989	0.050806310942588535	1.3335759467038213e-4	0.05054493005703459	0.051067691828142484
K562_skew	[-0.5,-0.2)	non-cCRE	6815161	6810573	3621842.435	7001261.180355	6749794	-1777047.1530565007	9667859.623764502	78462	250104	94444	0.01162435475808595	4.125724139266882e-5	0.01154349056495632	0.01170521895121558
K562_skew	[-0.5,-0.2)	pELS	478900	478318	183447.504	279096.478524	478203	98821.7010202317	1738438.1782750762	43653	126280	147931	0.09128550009096555	4.1649374202446107e-4	0.0904691723565976	0.0921018278253335
K562_skew	[-1.0,-0.5)	Other cCREs	265519	265341	146029.312	284526.634776	264004	-49655.614917967345	504565.645848533	6827	11087	35257	0.025859456674898865	3.088981119604665e-4	0.02525401637545635	0.02646489697434138
K562_skew	[-1.0,-0.5)	PLS	66434	66401	17812.489	18374.019599	66397	114989.46897344844	758199.7492562591	22250	25265	40558	0.33510550175459736	0.0018318627017331478	0.3315150508592004	0.3386959526499943
K562_skew	[-1.0,-0.5)	dELS	786391	786114	419737.193	787175.806867	785041	-8342.77008341054	2434244.345295436	49340	77696	242114	0.06285022056172862	2.7391242774709086e-4	0.06231335220334432	0.06338708892011292
K562_skew	[-1.0,-0.5)	non-cCRE	1380720	1379709	902869.909	1805670.986047	1369643	-440393.5741314038	2144717.03171406	15612	60423	29880	0.011398590727656768	9.070526608558867e-5	0.011220808406129015	0.011576373049184522
K562_skew	[-1.0,-0.5)	pELS	143498	143291	57471.002	88007.12236000001	143283	64243.19600357826	698775.463806054	18568	39874	57751	0.12958969312479499	8.872579721278782e-4	0.12785066749942434	0.13132871875016564
K562_skew	[-1.5,-1.0)	Other cCREs	62210	62190	34354.607	67823.101567	61822	-5324.757992707776	149381.16731627783	2434	2686	12261	0.03937109766749701	7.82159024789345e-4	0.037838065978909895	0.040904129356084125
K562_skew	[-1.5,-1.0)	PLS	17763	17759	5024.809	5555.496571	17742	44235.81997553328	288143.01549941406	7856	6985	12163	0.44279111712321045	0.0037291270347075754	0.4354820281351836	0.4501002061112373
K562_skew	[-1.5,-1.0)	dELS	184815	184781	98933.595	188308.812667	184452	30584.802953285533	722251.3538257565	15960	19121	75130	0.0865265760197775	6.546075851108289e-4	0.08524354515296029	0.08780960688659473
K562_skew	[-1.5,-1.0)	non-cCRE	239673	239546	169933.463	359707.921847	237550	-71917.73781182666	379671.6051991246	2969	11340	7047	0.012498421384971585	2.279391704134641e-4	0.012051660610961195	0.012945182158981975
K562_skew	[-1.5,-1.0)	pELS	32016	31992	12854.472	19891.529862	31962	24452.744002623844	213221.24871489237	5575	9050	15691	0.17442588073337087	0.0021225920028835436	0.17026560040771913	0.1785861610590226
