skew_type	skew_bin	ccre_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint	mutrate_mean	mutrate_var	mutrate_se	mutrate_lci	mutrate_uci
SKNSH_skew	(-Inf,-1.5)	non-cCRE	78388	78356	77768.396	175436.839522	77620	-36795.51196685621	154960.91288460582	749	2988	1900	0.9925008423094593	1.2539294363722087	0.004000372379758478	0.9846601124451327	1.000341572173786
SKNSH_skew	(-Inf,-1.5)	pELS	7526	7526	4606.065	8658.309505	7522	6407.543999280896	60172.38939263826	1394	1977	3643	0.6120203295243156	0.775987253938815	0.010154187695835946	0.5921181216404772	0.6319225374081541
SKNSH_skew	[-0.05,0.05)	Other cCREs	17647528	17635234	4009740.9799999967	5087989.382529997	17574217	-213329.72164829067	27182141.338480905	535339	519702	640778	0.22737101078443284	0.23681515990878238	1.1588150768731287e-4	0.2271438830293657	0.22759813853949998
SKNSH_skew	[-0.05,0.05)	PLS	723426	718791	142947.585	122443.585025	722790	186770.84086882303	3312039.216223597	80971	230530	235105	0.19887225215674653	0.13079658433712493	4.265764602169915e-4	0.19803616229472124	0.19970834201877183
SKNSH_skew	[-0.05,0.05)	dELS	40890266	40879118	9471455.802999994	11914490.935529009	40838301	3005433.1987817152	90925892.67191188	2077104	2792864	3867874	0.23169423085400212	0.23777444283312799	7.62661508044915e-5	0.23154474919842533	0.23184371250957891
SKNSH_skew	[-0.05,0.05)	non-cCRE	273884378	273753758	59538225.78699942	73169139.36130258	270813641	-24663957.17698816	302122585.7116434	3839602	5827622	917578	0.21748825010467773	0.21997972002463104	2.8347272437972452e-5	0.2174326894506993	0.21754381075865617
SKNSH_skew	[-0.05,0.05)	pELS	5741840	5735965	1221571.708	1322744.032026	5736263	429319.88297736173	13316735.848564511	301232	1203651	734407	0.21296707842533907	0.1852503736575384	1.797116782878605e-4	0.21261484353589485	0.2133193133147833
SKNSH_skew	[-0.2,-0.05)	Other cCREs	4866354	4861963	2580140.426	5068083.731752	4835062	-680737.8329848853	8493988.329400983	129546	169122	252837	0.5306787456013137	0.7607747750819692	3.955689799569758e-4	0.529903430400598	0.5314540608020294
SKNSH_skew	[-0.2,-0.05)	PLS	429616	428537	127460.311	151883.636553	429241	185582.03696268267	2357134.330203519	62736	149218	180216	0.2974312859799737	0.2659588747289903	7.877947475197054e-4	0.29588720827483506	0.29897536368511235
SKNSH_skew	[-0.2,-0.05)	dELS	13577090	13573527	7316479.5	13805802.877354007	13554609	-772981.7994184522	34924983.988534115	678302	1102412	1960126	0.539025671072817	0.7265637981594465	2.3136119663453398e-4	0.5385722031274133	0.5394791390182206
SKNSH_skew	[-0.2,-0.05)	non-cCRE	53541340	53504032	27722423.72999999	55450851.77569992	52789122	-9423160.390443616	74187208.31979115	819597	1506152	394688	0.5181370953501222	0.767920377217418	1.1980221298677065e-4	0.5179022830126682	0.5183719076875762
SKNSH_skew	[-0.2,-0.05)	pELS	2112016	2110033	911757.125	1475733.3646190001	2109525	97893.2821047623	6051818.226945067	135149	502984	424964	0.4321056234665524	0.5126737337020498	4.929193985943716e-4	0.43113950144530744	0.43307174548779737
SKNSH_skew	[-0.5,-0.2)	Other cCREs	886950	886025	504017.746	992093.682566	880414	-181296.76282331877	1584344.6437636742	20394	34986	77449	0.5688527366609294	0.7961204306296746	9.479084540243179e-4	0.5669948360910417	0.570710637230817
SKNSH_skew	[-0.5,-0.2)	PLS	154178	154039	40488.704	42998.532688	154073	155420.31997924455	1219024.615427454	35733	57115	79256	0.2628470971637053	0.21005332693023474	0.0011677488196028506	0.2605583094772837	0.2651358848501269
SKNSH_skew	[-0.5,-0.2)	dELS	2676537	2675486	1486100.287	2806141.939057	2670783	-159658.3581583878	7525635.851169992	146136	246464	604766	0.5554505936491538	0.7403093840633276	5.260236686426899e-4	0.5544195872586142	0.5564816000396935
SKNSH_skew	[-0.5,-0.2)	non-cCRE	6578404	6566660	4330229.148	8756771.892154003	6487333	-2003378.07642365	10194804.959266284	79541	241083	91853	0.659426428047135	0.8986768389317572	3.6993848122712645e-4	0.6587013486239298	0.6601515074703402
SKNSH_skew	[-0.5,-0.2)	pELS	453282	452836	191730.057	303378.008657	452674	101208.3120392927	1716289.2910263487	43060	118077	137255	0.4233984422616576	0.4906860140856188	0.0010409535893142695	0.4213581732266017	0.42543871129671357
