skew_type	skew_bin	ccre_class	pleio_bin	pleio_set	COMMON	SINGLETON	gw_SINGLETON	gw_COMMON	odds	lci	uci	pval	log2odds	log2lci	log2uci
SKNSH_skew	[1.0,1.5)	dELS	5	all	16	408	271223115	11777645	1.0447353757757898	0.6445002544019209	1.810995476039473	1.0000000000000002	0.0631375639310458	-0.6337471668290361	0.856782942365624
SKNSH_skew	[1.0,1.5)	dELS	6	all	22	689	271223115	11777645	1.3027307905858538	0.8610323007541499	2.0690452496548093	0.2591611115429581	0.38153898166959666	-0.21586073500770567	1.0489651970291178
SKNSH_skew	[1.0,1.5)	non-cCRE	0	all	5341	109054	271223115	11777645	0.8864443815638956	0.8624333326061705	0.9112959422478955	2.923541535019629e-17	-0.17389798035580878	-0.2135151562956607	-0.13400845131068448
SKNSH_skew	[1.0,1.5)	pELS	0	all	184	4477	271223115	11777645	1.0511013914158522	0.9072053077457736	1.2243161702190868	0.5330659778960867	0.07190184136243764	-0.14049901387077302	0.29197617102494616
SKNSH_skew	[1.0,1.5)	pELS	1	all	70	1704	271223115	11777645	1.0427928102195998	0.8222783495790141	1.3415821976040976	0.8119926401429522	0.06045254101997085	-0.28230125136818857	0.4239354500087182
SKNSH_skew	[1.0,1.5)	pELS	2	all	37	995	271223115	11777645	1.1381727343331607	0.8233914080683229	1.6180200124038988	0.48334827973956596	0.1867195243007259	-0.28034970039613555	0.6942294517835337
SKNSH_skew	[1.0,1.5)	pELS	3	all	17	790	271223115	11777645	1.908272351365988	1.1995228449243724	3.236939407352568	0.0035935614476488727	0.9322670895429559	0.26246063403422737	1.6946303598226062
SKNSH_skew	[1.0,1.5)	pELS	4	all	13	584	271223115	11777645	1.814528358222581	1.0727920058331366	3.3397699435581476	0.023733568836068256	0.8595946040464493	0.10137039180705591	1.7397487276338026
SKNSH_skew	[1.0,1.5)	pELS	5	all	14	520	271223115	11777645	1.508276744096248	0.9059984712112973	2.7144017422091458	0.12902385627256704	0.5929011638217089	-0.14241947902836943	1.4406342611398975
SKNSH_skew	[1.0,1.5)	pELS	6	all	13	799	271223115	11777645	2.481387255339171	1.4702028605874309	4.559365969413044	1.4446506190065822e-4	1.311146905629092	0.5560152338176438	2.1888332155345074
SKNSH_skew	[1.5,Inf)	Other cCREs	0	all	282	5176	271223115	11777645	0.79436865259686	0.70465867023745	0.8984990346955032	2.4934071668059174e-4	-0.33211940257919903	-0.5050034955344761	-0.15441114111403567
