skew_type	skew_bin	ccre_class	af_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint	prop_conserved
mean_skew	[-1.5,-1.0)	PLS	ULTRARARE	4689	4688	1793.777	2518.751459	4681	12291.100991376328	82948.92508241587	2168	1864	3134	0.4631488998077334
mean_skew	[-1.5,-1.0)	dELS	COMMON	2729	2729	2588.224	5528.700372	2725	-1238.6130028106274	7914.192254135177	89	321	1012	0.0326605504587156
mean_skew	[-1.5,-1.0)	dELS	LOW_FREQ	3736	3736	4215.329	9585.489637	3727	-1092.7509973661515	11754.121820570766	164	384	1487	0.044003219747786426
mean_skew	[-1.5,-1.0)	dELS	RARE	10041	10038	12175.474	27802.080266	10012	-2724.245999797598	34757.143928577396	553	1047	3982	0.05523371953655613
mean_skew	[-1.5,-1.0)	dELS	SINGLETON	55680	55670	15601.847	22975.163707	55553	18703.95800256915	217374.06330654785	5289	5634	24346	0.0952063794934567
mean_skew	[-1.5,-1.0)	dELS	ULTRARARE	51364	51359	47095.016	100891.447512	51260	-2741.6810045123575	192290.1163323828	3557	5394	21333	0.06939133827545844
mean_skew	[-1.5,-1.0)	non-cCRE	COMMON	5463	5461	6691.209	15330.480945	5405	-3366.11399800761	10576.845356747064	25	280	96	0.004625346901017576
mean_skew	[-1.5,-1.0)	non-cCRE	LOW_FREQ	7044	7041	10075.689	24555.533313	6967	-4215.845993702999	14063.302918907912	40	300	130	0.005741352088416822
mean_skew	[-1.5,-1.0)	non-cCRE	RARE	19364	19357	29990.007	74221.947303	19148	-11758.144976205544	38742.16595386312	120	895	373	0.006266973052015876
mean_skew	[-1.5,-1.0)	non-cCRE	SINGLETON	78209	78176	25662.358	41840.832004	77306	-9307.807951393772	93621.1551064357	987	3644	2135	0.012767443665433472
mean_skew	[-1.5,-1.0)	non-cCRE	ULTRARARE	84314	84281	95832.99	221935.758832	83517	-38470.24392001633	151195.82173499223	672	3938	1948	0.008046266029670606
mean_skew	[-1.5,-1.0)	pELS	COMMON	379	379	262.248	490.152114	378	-87.12499873258648	1679.1168056054444	25	113	167	0.06613756613756613
mean_skew	[-1.5,-1.0)	pELS	LOW_FREQ	476	476	400.429	828.768805	474	105.8610003888608	2176.793053255781	53	123	217	0.11181434599156118
mean_skew	[-1.5,-1.0)	pELS	RARE	1357	1356	1231.597	2502.669569	1354	292.82200410822406	7828.27502635026	178	364	607	0.13146233382570163
mean_skew	[-1.5,-1.0)	pELS	SINGLETON	10128	10122	2636.301	3106.148641	10115	10599.947000801094	78904.7054690506	2072	2939	5201	0.20484429065743945
mean_skew	[-1.5,-1.0)	pELS	ULTRARARE	8163	8152	5639.773	10663.863875	8149	4824.499010637869	54522.47978927733	1345	2194	3917	0.16505092649404834
mean_skew	[0.05,0.2)	PLS	COMMON	5858	5841	1029.981	706.262349	5849	-1691.526003718494	24688.76991321939	396	2273	2077	0.06770388100530005
mean_skew	[0.05,0.2)	PLS	LOW_FREQ	6883	6872	1344.944	1101.44249	6878	126.67500074580398	31849.252996902665	658	2399	2472	0.0956673451584763
mean_skew	[0.05,0.2)	PLS	RARE	18447	18173	3866.334	3394.744146	18422	1480.1149982461934	97785.03356724036	2058	6541	6813	0.1117142546954728
mean_skew	[0.05,0.2)	PLS	SINGLETON	167572	167447	23122.276	9120.133602	167461	59600.68599740172	863091.8120798592	22401	57533	61697	0.13376845952191854
mean_skew	[0.05,0.2)	PLS	ULTRARARE	115203	114689	21712.892	15766.668992	115110	26808.655966199596	622766.7573998078	14635	40281	43175	0.12713925810094692
mean_skew	[0.05,0.2)	dELS	COMMON	240218	240104	55594.943	61268.017929	239824	-91422.49300916935	601642.9489989917	6616	23398	29994	0.027586897057842417
mean_skew	[0.05,0.2)	dELS	LOW_FREQ	259554	259435	71323.6	91263.37442	259106	-48360.45000121126	633992.8501910511	9823	19990	31924	0.037911125176568666
mean_skew	[0.05,0.2)	dELS	RARE	648285	647993	195478.695	267446.391425	647059	-111319.81605905446	1637712.8066265243	26230	50577	80144	0.04053726167165591
mean_skew	[0.05,0.2)	dELS	SINGLETON	6015778	6014688	798209.247	360360.197775	6007997	52552.06861979168	13883375.567851758	290724	458403	716954	0.048389504854945836
mean_skew	[0.05,0.2)	dELS	ULTRARARE	3986846	3985896	954963.319	1060635.903949	3980843	-427272.0172490858	9880600.780560968	175824	308096	482796	0.04416752933989107
mean_skew	[0.05,0.2)	non-cCRE	COMMON	1044025	1043050	238935.216	276380.00769	1032322	-469229.35578818	1833057.4160756203	8682	36476	5916	0.008410166595306504
mean_skew	[0.05,0.2)	non-cCRE	LOW_FREQ	1138841	1137622	303024.095	407399.806539	1121973	-288724.8287328201	1594917.3348886352	12171	31071	6495	0.010847854627517774
mean_skew	[0.05,0.2)	non-cCRE	RARE	2786416	2783216	816178.3369999999	1178423.061235	2742813	-670815.7633473098	3882218.044756549	31323	77880	16144	0.01142002754106824
mean_skew	[0.05,0.2)	non-cCRE	SINGLETON	24914884	24905531	3202999.718999992	1236353.968051001	24647585	-2583077.8220000765	28513963.84296717	336562	653614	143207	0.013654968630800948
mean_skew	[0.05,0.2)	non-cCRE	ULTRARARE	16639589	16629905	3646645.891999996	3873214.337434002	16418249	-3056445.8017282803	21490182.523798116	202808	448724	97103	0.012352596187327893
mean_skew	[0.05,0.2)	pELS	COMMON	33986	33959	6799.976	6280.618864	33920	-11373.232007624703	90492.18215026028	1085	8908	5591	0.031987028301886794
mean_skew	[0.05,0.2)	pELS	LOW_FREQ	38446	38411	8907.86	9459.872696	38361	-5069.153996512877	102829.4322421754	1740	8751	6472	0.04535856729490889
mean_skew	[0.05,0.2)	pELS	RARE	97272	97118	24280.454	27663.47195	97098	-9465.00901283429	275018.30753611156	4911	22584	16480	0.05057776679231292
mean_skew	[0.05,0.2)	pELS	SINGLETON	921517	921081	121571.258	50851.36303	920769	77465.28204393876	2391846.7157661836	56275	213856	154592	0.06111739209291364
mean_skew	[0.05,0.2)	pELS	ULTRARARE	609522	608713	127756.338	118816.902858	608805	-10553.65002256678	1696467.859210618	34571	141832	103256	0.056785013263688705
mean_skew	[0.2,0.5)	PLS	COMMON	1610	1606	277.468	220.752354	1607	-304.9529990844895	6520.60125259968	112	672	622	0.06969508400746734
mean_skew	[0.2,0.5)	PLS	LOW_FREQ	1971	1968	413.518	383.234316	1969	266.4679991157028	10585.227710062049	246	725	762	0.12493651599796851
mean_skew	[0.2,0.5)	PLS	RARE	5237	5212	1126.691	1056.212561	5232	1793.517995461007	32529.765454724955	751	1920	2216	0.14353975535168195
mean_skew	[0.2,0.5)	PLS	SINGLETON	48107	48081	6577.568	2596.968946	48080	30323.251001483753	300048.26227043837	8457	17390	20107	0.17589434276206323
mean_skew	[0.2,0.5)	PLS	ULTRARARE	33201	33117	6307.455	4743.705009	33177	17174.779976051545	206516.2180154324	5513	11999	14083	0.1661693341772915
mean_skew	[0.2,0.5)	dELS	COMMON	44386	44372	11965.03	15991.386608	44306	-19973.10797892674	115340.48337641722	1133	4993	7636	0.025572157269895725
mean_skew	[0.2,0.5)	dELS	LOW_FREQ	46324	46306	15704.421	24419.329079	46226	-10015.331004519016	114539.18205891	1721	4164	7394	0.03723013022974084
mean_skew	[0.2,0.5)	dELS	RARE	116778	116717	43690.992	70992.477348	116550	-22225.84100532765	301082.7487825303	4663	10474	18937	0.04000858000858001
mean_skew	[0.2,0.5)	dELS	SINGLETON	1052828	1052550	141339.214	77361.565104	1051250	9037.982971042744	2459262.563357267	51793	90754	165702	0.049268014268727706
mean_skew	[0.2,0.5)	dELS	ULTRARARE	705379	705159	198026.233	267944.613137	704136	-77286.00098249316	1764917.716690868	31834	62667	113720	0.045210016246861405
mean_skew	[0.2,0.5)	non-cCRE	COMMON	129310	129176	35777.737	52037.356667	128091	-70617.26796295238	255622.83078259852	940	5804	1251	0.007338532761864612
mean_skew	[0.2,0.5)	non-cCRE	LOW_FREQ	139895	139662	47130.396	76981.613256	138071	-41218.828953019474	202628.76740247765	1333	5031	1291	0.009654453143672458
mean_skew	[0.2,0.5)	non-cCRE	RARE	341375	340841	129089.119	225128.719841	336736	-95783.44791931812	500101.10680661735	3633	12521	3361	0.010788867243181602
mean_skew	[0.2,0.5)	non-cCRE	SINGLETON	2891549	2890006	371291.488	183873.647154	2864835	-321195.4743445406	3378763.2180889603	38367	98614	28606	0.013392394326374818
mean_skew	[0.2,0.5)	non-cCRE	ULTRARARE	1967688	1965978	514027.436	704108.492614	1945301	-398832.2494961257	2619290.824175847	23313	69513	19733	0.011984263617815443
mean_skew	[0.2,0.5)	pELS	COMMON	6851	6843	1470.749	1546.056569	6838	-2015.330999001977	19472.64726814456	277	2072	1568	0.04050892073705762
mean_skew	[0.2,0.5)	pELS	LOW_FREQ	7670	7659	1996.352	2500.198942	7646	-174.64400260616054	21370.344557661672	455	1889	1644	0.05950823960240649
mean_skew	[0.2,0.5)	pELS	RARE	19619	19586	5532.966	7256.70014	19570	-219.27599821239644	63892.46891636929	1305	5054	4589	0.06668369954011241
mean_skew	[0.2,0.5)	pELS	SINGLETON	184344	184248	24930.797	11947.428975	184161	36418.69103063503	572315.6110044982	14697	47691	42063	0.07980517047583364
mean_skew	[0.2,0.5)	pELS	ULTRARARE	122854	122690	28073.887	30026.961877	122683	12894.47301292956	395443.8401990468	9306	32080	28291	0.07585403030574733
mean_skew	[0.5,1.0)	PLS	COMMON	350	349	59.331	47.036339	350	-60.553998860297845	1291.4912296725188	29	158	133	0.08285714285714285
mean_skew	[0.5,1.0)	PLS	LOW_FREQ	437	437	88.919	77.923177	436	102.66300275526002	2141.767748716624	57	166	163	0.13073394495412843
mean_skew	[0.5,1.0)	PLS	RARE	1324	1319	295.85	297.997838	1322	485.9920012070801	8300.459035038835	204	474	566	0.15431164901664146
