skew_type	skew_bin	ccre_class	cell_line	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint	phyloP_mean	phyloP_var	phyloP_se	phyloP_lci	phyloP_uci	frac_conserved	frac_conserved_se	frac_conserved_lci	frac_conserved_uci
SKNSH_skew	(-Inf,-1.5)	pELS	MCF-7	1724	1724	471.334	471.84473	1722	4562.432005914162	31534.724545601268	762	731	1167	2.649495938393822	11.299581334534407	0.08100551785214294	2.490725123403622	2.8082667533840224	0.4425087108013937	0.011969151979540541	0.41904917292149424	0.46596824868129316
SKNSH_skew	(-Inf,-1.5)	pELS	SK-N-SH	1525	1525	352.746	254.844034	1525	4716.632002003724	31766.351825906277	764	632	1048	3.092873443936868	11.271919922628722	0.08597338483556645	2.9243656096591577	3.2613812782145786	0.5009836065573771	0.012803663218593886	0.47588842664893305	0.5260787864658211
SKNSH_skew	[-0.05,0.05)	Inactive cCRE	H1	62500642	62467235	14356237.820999978	18011559.722723074	62372121	3110694.705248239	125305841.11308604	2790697	4217370	4705042	0.049873158959084285	2.006516708772734	1.793602224635281e-4	0.04952161292305577	0.0502247049951128	0.044742698424509245	2.617737008901999e-5	0.04469139077913477	0.04479400606988372
SKNSH_skew	[-0.05,0.05)	Inactive cCRE	HCT116	62062461	62029761	14279673.65299998	17925170.193467073	61934429	3219374.242117565	125619648.8866902	2805283	4133475	4618474	0.051980365268525605	2.0255665336515074	1.80845283826436e-4	0.05162590851222579	0.05233482202482542	0.04529440321472892	2.642353610500376e-5	0.045242613083963115	0.04534619334549472
SKNSH_skew	[-0.05,0.05)	Inactive cCRE	HepG2	62065699	62032332	14263635.98999998	17890651.829752073	61936967	3144216.822277146	125329713.6936805	2794434	4124801	4686639	0.05076478514482548	2.020927182681968	1.806343603256382e-4	0.050410741798587226	0.05111882849106373	0.04511738522811425	2.6373756187837682e-5	0.04506569266598609	0.045169077790242415
SKNSH_skew	[-0.05,0.05)	Inactive cCRE	K562	61009664	60976590	14054356.81299998	17704505.998045072	60882472	3190130.015147709	123402925.30727953	2760701	3871668	4473995	0.05239816831267477	2.024158453388111	1.8233754973718551e-4	0.052040786715189885	0.052755549910159655	0.04534475866880044	2.6664944815934854e-5	0.04529249537696121	0.04539702196063967
SKNSH_skew	[-0.05,0.05)	Inactive cCRE	MCF-7	62217619	62184612	14222860.60199998	17782368.505476072	62087620	3370079.7000588463	125627495.75522605	2806814	4108348	4707439	0.05427941512428478	2.0204442016078055	1.8039351640915832e-4	0.05392584383212283	0.05463298641644673	0.04520730541773062	2.636673463799925e-5	0.04515562661784014	0.0452589842176211
SKNSH_skew	[-0.05,0.05)	Inactive cCRE	SK-N-SH	61860816	61828006	14145117.254999978	17741640.78666507	61731220	2874418.7856595237	122174670.2807852	2698757	3972604	4579239	0.04656345339780299	1.9769709620607587	1.789565980120629e-4	0.046212698465699344	0.046914208329906636	0.043717862695731594	2.6023760451459386e-5	0.043666856125246734	0.043768869266216454
SKNSH_skew	[-0.05,0.05)	Other cCREs	H1	1670890	1670517	343243.996	336511.553886	1668268	91607.8537575182	5368697.652317664	110576	260719	441286	0.054911952850212435	3.2151132199890196	0.0013882421484050604	0.05219099823933852	0.057632907461086354	0.06628191633478554	1.9260719361760006e-4	0.06590440623529505	0.06665942643427604
SKNSH_skew	[-0.05,0.05)	Other cCREs	HCT116	1377758	1377210	268859.732	262368.494256	1375090	3905.43892812289	3203668.018038579	64787	164467	333591	0.0028401333208174667	2.3297815094669123	0.0013016434436114775	2.889121713389709e-4	0.005391354470295963	0.04711473430829982	1.8068958360892035e-4	0.04676058272442634	0.0474688858921733
