skew_type	skew_bin	ccre_class	mut_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint	mutrate_mean	mutrate_var	mutrate_se	mutrate_lci	mutrate_uci
HepG2_skew	[-1.0,-0.5)	dELS	CpG transition	151464	151464	314478.61699999997	715171.248795	151216	-121022.46199176928	581087.0051674132	4220	16261	50663	2.0762598175143925	0.41087217901666745	0.001647019180106246	2.073031659921384	2.079487975107401
HepG2_skew	[-1.0,-0.5)	dELS	non-CpG transition	239321	239321	37250.169	8027.201335	238948	101821.55688981258	868951.0966827724	23581	22684	81384	0.15564939558166646	0.009314871489365995	1.9728680035641124e-4	0.15526271345296788	0.15603607771036504
HepG2_skew	[-1.0,-0.5)	dELS	non-CpG transversion	216193	216193	13560.567	1579.869901	215736	44126.883986490095	705930.4971491552	16966	21120	74188	0.06272435740287613	0.0033733535464140784	1.2491371250210906e-4	0.062479526526371995	0.06296918827938026
HepG2_skew	[-1.0,-0.5)	non-cCRE	CpG transition	261494	261494	595803.256	1446187.322756	260018	-238897.77280167496	728427.7704452331	1260	12463	5659	2.2784586109050307	0.33910760027054515	0.001138774929828241	2.276226612042567	2.280690609767494
HepG2_skew	[-1.0,-0.5)	non-cCRE	non-CpG transition	332542	332542	56254.966	13475.345272	329208	-10647.558912888282	397447.52127173386	5831	12947	7686	0.16916649926926525	0.011904966928193697	1.8920858786741944e-4	0.16879565043704511	0.16953734810148538
HepG2_skew	[-1.0,-0.5)	non-cCRE	non-CpG transversion	317393	317393	20093.921	2300.351129	313638	-45632.98587289825	426439.81618279166	4787	13678	7768	0.06330927588195076	0.0032395887132028412	1.0102904935275186e-4	0.06311125894521936	0.06350729281868216
HepG2_skew	[-1.0,-0.5)	pELS	CpG transition	23429	23429	36496.55	74296.174666	23405	-7669.325997173435	112331.57822214652	1755	6166	9084	1.557751077724188	0.7445635380862765	0.005637337109157647	1.546701896990239	1.568800258458137
HepG2_skew	[-1.0,-0.5)	pELS	non-CpG transition	37061	37061	6000.97	1326.156826	37014	33612.77898899956	233504.3967091975	6622	9848	15416	0.16192142683683658	0.009564792261061756	5.080181214565867e-4	0.16092571131878167	0.1629171423548915
HepG2_skew	[-1.0,-0.5)	pELS	non-CpG transversion	37815	37815	2618.167	326.825361	37728	25592.882000824673	211738.73965055693	5819	10609	16254	0.06923620256511966	0.0038491939556431045	3.190456629016378e-4	0.06861087306583244	0.06986153206440687
HepG2_skew	[-1.5,-1.0)	Other cCREs	CpG transition	10090	10090	23014.041	56120.271379	10021	-8360.393990293027	27679.849677060454	90	460	1242	2.28087621407334	0.3596087493697465	0.005969934163101695	2.2691751431136606	2.2925772850330195
HepG2_skew	[-1.5,-1.0)	Other cCREs	non-CpG transition	13877	13877	2274.651	506.466085	13789	968.7910069543868	20504.441143635064	408	536	2352	0.16391518339698782	0.009629305936210603	8.330090090983843e-4	0.162282485739155	0.16554788105482066
HepG2_skew	[-1.5,-1.0)	Other cCREs	non-CpG transversion	12792	12792	796.5029999999999	83.494801	12675	-1568.1019983948208	20934.959448473768	281	523	2111	0.06226571294559099	0.0026502989478303443	4.5517479648904657e-4	0.06137357034447246	0.06315785554670952
HepG2_skew	[-1.5,-1.0)	PLS	CpG transition	2039	2039	2081.986	3660.690502	2038	4678.838999157773	36541.1753775373	860	778	1350	1.0210819028935751	0.7530972891669366	0.019218386768375752	0.9834138648275587	1.0587499409595915
HepG2_skew	[-1.5,-1.0)	PLS	non-CpG transition	3034	3034	490.161	103.669335	3029	9832.138990485457	63638.60512938555	1623	1149	1986	0.1615560316413975	0.0080715031238447	0.0016310580625399672	0.15835915783881918	0.16475290544397583
