skew_type	skew_bin	ccre_class	pleio_bin	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint	pleio_set	phyloP_mean	phyloP_var	phyloP_se	phyloP_lci	phyloP_uci	frac_conserved	frac_conserved_se	frac_conserved_lci	frac_conserved_uci	mutrate_mean	mutrate_var	mutrate_se	mutrate_lci	mutrate_uci
HepG2_skew	[-0.5,-0.2)	pELS	1	81241	81153	32220.953999999994	49537.041089999984	81133	15305.144027861304	283091.4899079869	7116	21962	24657	all	0.18864264883415263	3.453683959446124	0.006524429298929514	0.1758547674082508	0.20143053026005447	0.08770783774789544	9.930872512803044e-4	0.08576138673538604	0.08965428876040483	0.3970395918820006	0.45278054347140273	0.002362063608567134	0.392409947209209	0.4016692365547922
HepG2_skew	[-0.5,-0.2)	pELS	2	43832	43810	13068.685	15510.711347000002	43771	20899.24598464603	192700.42364748687	5653	14843	17977	all	0.4774678665017027	4.174587737164808	0.009765928991186836	0.4583266456789765	0.4966090873244289	0.12914943684174454	0.0016029679627713564	0.1260076196347127	0.1322912540487764	0.2983036977858936	0.2650659518889032	0.002459746471148201	0.29348259470244314	0.30312480086934407
HepG2_skew	[-0.5,-0.2)	pELS	3	31403	31401	7721.124000000001	7036.994922000001	31393	21528.593017340405	159420.6180870045	5014	12076	15887	all	0.6857768616360465	4.608078718531252	0.0121155611712075	0.6620303617404798	0.7095233615316131	0.15971713439301755	0.002067626542703895	0.1556645863693179	0.1637696824167172	0.24588783796694375	0.16364536417087006	0.0022828643917769784	0.24141342375906086	0.2503622521748266
HepG2_skew	[-0.5,-0.2)	pELS	4	22245	22242	4844.141999999998	3630.7397659999997	22245	17266.117981950058	126946.79470862997	3946	8813	12339	all	0.7761797249696587	5.104530839871709	0.015148223737282607	0.7464892064445848	0.8058702434947326	0.1773881771184536	0.0025612006531433172	0.1723682238382927	0.18240813039861448	0.21779255462638242	0.11580961759125248	0.0022818410857741857	0.21332014609826502	0.2222649631544998
HepG2_skew	[-0.5,-0.2)	pELS	5	19929	19928	3944.281000000001	2423.377141000001	19925	18203.91299881682	133597.05015599082	4027	8351	11632	all	0.9136217314337175	5.870586209754218	0.01716491155512659	0.8799785047856694	0.9472649580817656	0.20210790464240905	0.002844884021411154	0.1965319319604432	0.2076838773243749	0.19792658570855082	0.08243584431148152	0.002033884037741188	0.19394017299457808	0.20191299842252355
HepG2_skew	[-0.5,-0.2)	pELS	6	34537	34531	6198.174	2845.2214419999996	34534	38939.031007193495	282636.18991426844	8211	14431	21661	all	1.1275563504718102	6.913104515127231	0.014148588610000727	1.0998251167962088	1.1552875841474117	0.23776568019922395	0.002290843340499082	0.23327562725184575	0.24225573314660215	0.17949593119226204	0.05017881344275506	0.0012054678051741947	0.17713321429412063	0.18185864809040345
HepG2_skew	[-1.0,-0.5)	Other cCREs	0	174006	173940	111964.61600000001	234796.46727800005	172861	-43832.19594626979	299799.2421879503	3208	6505	19428	all	-0.25356902914057994	1.670049489857428	0.0031082515581333926	-0.2596612021945214	-0.2474768560866385	0.018558263575936734	3.246029183815545e-4	0.01792204185590889	0.01919448529596458	0.643696769000805	0.9355303049711924	0.0023191519121044412	0.6391512312530803	0.6482423067485297
HepG2_skew	[-1.0,-0.5)	Other cCREs	1	14733	14731	7852.6150000000025	14963.166887	14690	-1634.6780030899677	38059.79340976666	571	863	4625	all	-0.11127828475765607	2.5786567666588422	0.01324908455077367	-0.13724649047717247	-0.08531007903813967	0.03886997957794418	0.0015947306070378919	0.03574430758814991	0.04199565156773845	0.5330673409816036	0.7316493068022908	0.007047504599370921	0.5192542319668366	0.5468804499963705
HepG2_skew	[-1.0,-0.5)	Other cCREs	2	3365	3358	1469.0620000000001	2424.390652000001	3352	1037.6920008166924	15316.423340355805	347	216	1786	all	0.3095739859238342	4.474837628021994	0.03653731552838661	0.23796084748819646	0.381187124359472	0.10352028639618138	0.005261759097574225	0.0932072385649359	0.11383333422742686	0.4374812388326385	0.5307428025969757	0.012571922953674177	0.41284026984343714	0.4621222078218399
HepG2_skew	[-1.0,-0.5)	Other cCREs	3	2121	2121	758.339	1076.688883	2120	2236.542993068113	19106.190734938365	438	145	1512	all	1.0549731099377893	7.903113741402419	0.06105639884798447	0.9353025681957396	1.1746436516798389	0.20660377358490567	0.008793185996258874	0.18936912903223826	0.22383841813757308	0.3575384252710986	0.3799780901501606	0.013384709307936908	0.3313043950275422	0.38377245551465494
