skew_type	skew_bin	ccre_class	af_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint	phyloP_mean
mean_skew	[-0.5,-0.2)	PLS	RARE	9396	9378	3807.806	5526.674756	9388	7619.168004850626	68892.51564700482	1925	3489	4871	0.8115858547987458
mean_skew	[-0.5,-0.2)	PLS	SINGLETON	80382	80336	15381.302	10253.372736	80333	99534.7879764672	683670.3927708939	20925	29724	43161	1.2390273981609947
mean_skew	[-0.5,-0.2)	PLS	ULTRARARE	58920	58832	19342.499	24150.234463	58886	59702.323975893785	470115.0702844075	13852	21785	31153	1.0138627853121929
mean_skew	[-0.5,-0.2)	dELS	COMMON	56575	56551	45088.092	90977.320402	56450	-26604.031973134388	150426.44345485122	1554	6372	12254	-0.4712848888066322
mean_skew	[-0.5,-0.2)	dELS	LOW_FREQ	70862	70828	67221.951	144839.945043	70700	-24008.057008821517	200807.1111881089	2641	6621	16767	-0.339576478201153
mean_skew	[-0.5,-0.2)	dELS	RARE	190084	189984	197697.244	429841.654344	189695	-67957.8799860353	581796.1667353894	7758	18227	46245	-0.35824813509072617
mean_skew	[-0.5,-0.2)	dELS	SINGLETON	1138936	1138587	276363.733	363083.588017	1137073	139793.07191256774	3047025.4072405617	71961	105095	273694	0.12294115849428114
mean_skew	[-0.5,-0.2)	dELS	ULTRARARE	992901	992587	779648.884	1580306.857302	991074	-197130.1120749415	2945523.111974937	48472	95072	242096	-0.19890554295132504
mean_skew	[-0.5,-0.2)	non-cCRE	COMMON	147341	147195	137517.216	293676.633498	145937	-91724.2239142574	303510.6404650874	936	6781	1876	-0.6285193193930079
mean_skew	[-0.5,-0.2)	non-cCRE	LOW_FREQ	175385	175130	197813.349	450772.630699	173213	-93259.1849046417	340161.4526306271	1434	7012	2422	-0.5384075381446064
mean_skew	[-0.5,-0.2)	non-cCRE	RARE	467912	467306	575314.639	1324476.877391	462279	-262842.23472071235	941931.2542598604	3800	18598	6898	-0.5685792231979223
mean_skew	[-0.5,-0.2)	non-cCRE	SINGLETON	2367818	2366028	619926.064	869162.489114	2345550	-304229.7751032854	2965660.578231813	35345	88222	40985	-0.1297050905345379
mean_skew	[-0.5,-0.2)	non-cCRE	ULTRARARE	2225455	2223552	1990233.62	4221560.184042	2203202	-919091.7909139368	3875233.632050273	23477	88336	35392	-0.41716183577989524
mean_skew	[-0.5,-0.2)	pELS	COMMON	8357	8352	5071.6449999999995	9081.071877	8334	-2157.6990022753585	24092.89250252668	418	2446	2300	-0.25890316801960145
mean_skew	[-0.5,-0.2)	pELS	LOW_FREQ	11105	11092	7768.231	14677.960747	11073	-1270.3899838700895	39462.92557168792	748	2880	3443	-0.11472861770704322
mean_skew	[-0.5,-0.2)	pELS	RARE	29786	29713	22492.039	43335.875389	29722	-2001.4400169499008	111120.00140490897	2211	7509	9206	-0.0673386722612846
mean_skew	[-0.5,-0.2)	pELS	SINGLETON	210782	210623	48439.39	50274.093202	210540	84806.91601660755	831435.1443933662	23337	57277	70313	0.4028066686454239
mean_skew	[-0.5,-0.2)	pELS	ULTRARARE	167896	167641	96066.924	167644.801822	167634	22925.848986355235	655538.8078661212	15500	43969	53777	0.13676133115212447
mean_skew	[-1.0,-0.5)	PLS	COMMON	610	609	259.16	397.14648999999997	610	394.8199995053	3853.0475814273705	121	273	321	0.6472459008283606
mean_skew	[-1.0,-0.5)	PLS	LOW_FREQ	1066	1066	444.403	641.704357	1065	1256.648002333123	8917.819872391867	279	429	620	1.179951175899646
mean_skew	[-1.0,-0.5)	PLS	RARE	3044	3042	1358.395	2110.888179	3042	4323.352003710113	33090.993222539044	929	1146	1855	1.421220251055264
mean_skew	[-1.0,-0.5)	PLS	SINGLETON	28328	28320	5713.887	4091.886287	28313	60556.276976860034	386748.92650123575	11119	10927	17752	2.1388152783830763
mean_skew	[-1.0,-0.5)	PLS	ULTRARARE	19959	19957	7104.411	9229.493063	19947	36243.25898927718	244727.4598309	6954	7482	12183	1.8169779410075289
mean_skew	[-1.0,-0.5)	dELS	COMMON	13964	13959	12448.218	25673.13157	13939	-6818.431004464046	40827.488843483865	431	1704	4298	-0.489162135337115
mean_skew	[-1.0,-0.5)	dELS	LOW_FREQ	18199	18194	18985.597	41502.143237	18156	-6274.453000763314	60359.9182898494	822	1803	6053	-0.3455856466602398
mean_skew	[-1.0,-0.5)	dELS	RARE	49596	49582	56099.057	124113.248929	49493	-15590.9200034407	167747.5485735268	2518	5058	16874	-0.3150126281179298
mean_skew	[-1.0,-0.5)	dELS	SINGLETON	280013	279970	74961.476	103627.597956	279568	68242.06093044484	978082.544609855	23512	27672	99758	0.24409825491631676
mean_skew	[-1.0,-0.5)	dELS	ULTRARARE	253962	253906	218352.114	450287.826818	253479	-34495.634028577835	899049.2684686306	16010	25721	88811	-0.13608872541148512
mean_skew	[-1.0,-0.5)	non-cCRE	COMMON	26728	26713	28427.747	63284.011093	26495	-17244.740979244823	56265.31627747584	169	1340	490	-0.6508677478484554
