skew_type	skew_bin	ccre_class	n_COMMON	n_SINGLETON	n_MR_COMMON	n_MR_SINGLETON	sum_MR_COMMON	sum_MR_SINGLETON	sum_MR_sq_COMMON	sum_MR_sq_SINGLETON	n_phyloP_COMMON	n_phyloP_SINGLETON	sum_phyloP_COMMON	sum_phyloP_SINGLETON	sum_phyloP_sq_COMMON	sum_phyloP_sq_SINGLETON	n_conserved_COMMON	n_conserved_SINGLETON	n_tf_chip_peak_COMMON	n_tf_chip_peak_SINGLETON	n_tf_footprint_COMMON	n_tf_footprint_SINGLETON	gw_SINGLETON	gw_COMMON	odds	lci	uci	log2odds	log2lci	log2uci
HepG2_skew	[0.5,1.0)	PLS	316	9541	315	9532	61.829	1428.16	60.626919	717.356344	316	9539	-45.457998807309146	7392.644993786818	1129.7845448323433	63536.52718076256	25	1823	135	3357	120	3900	271223115	11777645	1.3071244378226188	1.168620884829095	1.4665122863428792	0.38639649177138713	0.22480697752936285	0.5523891579490733
HepG2_skew	[0.5,1.0)	dELS	10237	232577	10233	232532	3440.04	33520.155	5304.931058	22215.868703	10215	232245	-4801.683000047458	-4262.936988653146	26738.919056357852	553128.4107088968	272	11293	1162	20637	2041	39529	271223115	11777645	0.9864597176230596	0.9671039766917497	1.006306712014513	-0.019667955618210494	-0.048257087715339715	0.009070090890914512
HepG2_skew	[0.5,1.0)	non-cCRE	24196	543327	24179	543080	7637.007	72721.963	11918.354151	39470.224419	23987	539196	-13711.014992714508	-67084.43784374699	49256.09370679188	643314.2705727242	177	6776	1166	20499	263	6165	271223115	11777645	0.9750059977485392	0.9624929592936983	0.9876725054261587	-0.03651700126053986	-0.05515210757346622	-0.017895345710048385
HepG2_skew	[0.5,1.0)	pELS	1546	41085	1545	41058	400.936	5792.68	486.194262	3147.316328	1541	41035	-599.8450008012586	8852.514002833625	4363.042980617051	135055.5294382965	58	3482	488	10678	362	9657	271223115	11777645	1.1533061684210761	1.0961781746763732	1.2141321131779523	0.20577555637863826	0.13248231547916076	0.2799254138971205
HepG2_skew	[1.0,1.5)	Other cCREs	651	12391	649	12383	196.408	1652.771	304.44594	970.477135	649	12299	-433.06899897486466	-1492.829996274784	1817.8545706762843	17378.989705230826	8	237	32	507	72	763	271223115	11777645	0.8253194308577388	0.7627661732290836	0.8943086407645099	-0.27697548810943734	-0.39068722973269654	-0.16115527952382366
HepG2_skew	[1.0,1.5)	PLS	47	1445	47	1443	14.932	202.905	22.572816	71.896507	47	1444	-24.49699972756207	1102.5600058488783	101.47732796679064	9283.984816063834	3	265	22	516	19	566	271223115	11777645	1.3081598012036637	0.98137541303911	1.7824288297674815	0.38753878725965385	-0.027122967694475156	0.8338444727469366
HepG2_skew	[1.0,1.5)	dELS	1793	41086	1793	41080	593.804	5675.545	937.855774	3687.195775	1792	41013	-851.4289993759013	-583.3969928172893	4554.117356901105	96972.5434203318	44	2008	207	3705	397	7128	271223115	11777645	0.9945195244548753	0.9485685951264603	1.0432349267247263	-0.007928400492267918	-0.07617598991639311	0.061064075840620846
HepG2_skew	[1.0,1.5)	non-cCRE	4348	88705	4344	88679	958.308	10955.993	1263.491806	4598.000751	4320	87998	-3011.4510039923457	-13173.57897294522	9893.808649972778	106279.26525980471	23	1025	240	3597	58	1107	271223115	11777645	0.8856811917663774	0.8590947064158613	0.9132368218154542	-0.17514061261706373	-0.2191109123652309	-0.13093906451924828
HepG2_skew	[1.0,1.5)	pELS	292	7683	292	7675	67.88	1039.842	82.48159	479.92676	290	7677	-70.83300040080209	1427.2430018141154	889.7845940486186	23407.129351544016	15	620	98	2012	83	1918	271223115	11777645	1.1388157933758531	1.0132622276759748	1.2841538603650897	0.18753440597910645	0.0190075854030598	0.360818068727612
HepG2_skew	[1.5,Inf)	Other cCREs	206	3650	206	3650	26.303	454.752	13.792397	139.523996	206	3635	-154.6599998623133	-639.412997844047	538.217563793209	5197.872070266855	1	67	14	126	18	197	271223115	11777645	0.7659002016130269	0.665640952537107	0.8853329627519074	-0.3847716766508705	-0.5871838990815942	-0.17570795791745247
HepG2_skew	[1.5,Inf)	PLS	13	357	13	356	1.6949999999999998	54.345	0.267279	24.017247	13	357	-0.6229999028146287	254.38600140903145	39.04069957030665	1810.133144898842	1	62	7	117	3	150	271223115	11777645	1.1104197072000739	0.6531751328853173	2.0518459063760552	0.15110507752045482	-0.6144582279711268	1.0369223886181478
HepG2_skew	[1.5,Inf)	dELS	566	11804	566	11802	146.135	1472.774	197.798539	622.599802	566	11786	-312.80999992333807	-640.8829941715812	1724.1973415301318	26277.235875169023	19	507	70	1078	136	1863	271223115	11777645	0.9040927633930566	0.8309712030038314	0.9853083823018309	-0.14545728859512475	-0.267129613082386	-0.021352764239646632
