skew_type	skew_bin	ccre_class	mut_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint	total	prop
HepG2_skew	[0.5,1.0)	PLS	non-CpG transition	7859	7859	1171.711	220.978423	7858	5091.728992925144	49535.18505779878	1381	2724	2890	17816	0.4411203412662775
HepG2_skew	[0.5,1.0)	PLS	non-CpG transversion	8216	8216	656.219	93.914423	8211	5981.388000073147	55068.24724218843	1547	2976	3453	17816	0.4611585092052088
HepG2_skew	[0.5,1.0)	dELS	CpG transition	33536	33536	64269.501000000004	135579.852109	33489	-28829.37098339155	126745.4553637353	728	3552	7247	442207	0.0758377863760637
HepG2_skew	[0.5,1.0)	dELS	non-CpG transition	236578	236578	36088.695	7475.404871	236265	-29106.115958430815	560489.9251808267	10083	20609	39233	442207	0.5349937924998925
HepG2_skew	[0.5,1.0)	dELS	non-CpG transversion	172093	172093	9930.759	982.807831	171796	14368.965993807422	405191.2265307956	9263	15825	29670	442207	0.3891684211240437
HepG2_skew	[0.5,1.0)	non-cCRE	CpG transition	54007	54007	113787.834	257032.300316	53563	-47334.30998378747	151869.30266120756	383	2894	1136	1032136	0.052325468736678114
HepG2_skew	[0.5,1.0)	non-cCRE	non-CpG transition	577087	577087	86675.909	17232.670159	572983	-109007.78686006296	732931.59235877	6074	20874	5736	1032136	0.5591191470891433
HepG2_skew	[0.5,1.0)	non-cCRE	non-CpG transversion	401042	401042	25327.647	2927.477523	396936	-32832.95882649464	451051.1332954647	5601	15971	4942	1032136	0.3885553841741786
HepG2_skew	[0.5,1.0)	pELS	CpG transition	5974	5974	7728.035	14131.488421	5962	-2207.198001886136	24847.755263499057	371	1681	1788	76474	0.07811805319454979
HepG2_skew	[0.5,1.0)	pELS	non-CpG transition	37614	37614	5561.022	1076.389818	37578	4161.5260119678	116110.45188361515	2810	9307	8230	76474	0.4918534403849674
HepG2_skew	[0.5,1.0)	pELS	non-CpG transversion	32886	32886	2256.73	278.626304	32824	8626.750994901871	110229.91970035496	2932	9092	8176	76474	0.4300285064204828
HepG2_skew	[1.0,1.5)	PLS	CpG transition	181	181	175.181	291.976921	181	52.64099992346017	1262.1725303754056	29	68	96	2688	0.06733630952380952
HepG2_skew	[1.0,1.5)	PLS	non-CpG transition	1332	1332	203.224	37.229608	1331	1045.776002232917	8625.372772112249	256	471	496	2688	0.4955357142857143
HepG2_skew	[1.0,1.5)	PLS	non-CpG transversion	1175	1175	110.464	18.557746	1173	799.05300150637	7416.07465233557	200	409	459	2688	0.43712797619047616
HepG2_skew	[1.0,1.5)	dELS	CpG transition	5439	5439	10665.088	22884.34925	5436	-4681.742001782869	19782.261568972222	119	610	1417	77274	0.07038589952636075
HepG2_skew	[1.0,1.5)	dELS	non-CpG transition	42092	42092	5947.605	1077.512037	42030	-3551.5969944593953	96812.5956043377	1879	3667	6974	77274	0.5447110282889458
HepG2_skew	[1.0,1.5)	dELS	non-CpG transversion	29743	29743	1785.152	172.720362	29676	1821.0840113967415	70851.18481373107	1595	2862	5337	77274	0.38490307218469344
HepG2_skew	[1.0,1.5)	non-cCRE	CpG transition	5850	5850	12561.707	28936.695111	5817	-5651.152997181052	18977.149388067635	50	354	207	168840	0.03464818763326226
