skew_type	skew_bin	ccre_class	cell_line	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint	phyloP_mean	phyloP_var	phyloP_se	phyloP_lci	phyloP_uci	frac_conserved	frac_conserved_se	frac_conserved_lci	frac_conserved_uci	skew_cell	matched
SKNSH_skew	[-1.5,-1.0)	non-cCRE	SK-N-SH	231877	231750	209694.167	465601.516569	229539	-84996.34983586486	380575.59789972333	2310	10435	5084	-0.370291540155986	1.520890521880316	0.002574072258203293	-0.37533672178206445	-0.3652463585299075	0.010063649314495576	2.0833063645272609e-4	0.009655321267048234	0.010471977361942919	SK-N-SH	Matched
SKNSH_skew	[-1.5,-1.0)	pELS	HepG2	4398	4398	1122.423	1079.607271	4394	8169.950999554015	56495.09207157515	1501	1949	2847	1.85934251241557	9.402311598850964	0.04625804706495683	1.7686767401682546	1.9500082846628854	0.3416021847974511	0.007154420860974939	0.3275795199099402	0.35562484968496194	SK-N-SH	Mismatched
SKNSH_skew	[-1.5,-1.0)	pELS	K562	6533	6533	1920.565	2170.606013	6522	10734.285002559423	74173.5718951699	1998	2685	3987	1.6458578660778018	8.665306622755173	0.03645033886995168	1.5744152018926965	1.7173005302629072	0.3063477460901564	0.005708051047248447	0.29515996603754946	0.31753552614276337	SK-N-SH	Mismatched
SKNSH_skew	[-1.5,-1.0)	pELS	SK-N-SH	4335	4335	927.937	666.214403	4335	9819.928999415715	64661.04273124387	1752	1926	2890	2.2652662051708687	9.786868812111228	0.04751462789905357	2.1721375344887237	2.3583948758530138	0.40415224913494807	0.007453248498764772	0.3895438820773691	0.418760616192527	SK-N-SH	Matched
SKNSH_skew	[0.05,0.2)	Inactive cCRE	HepG2	18841133	18832016	3259724.499999997	2536965.986380002	18796937	-1220919.7295178403	41703914.49375411	781426	1399308	1764910	-0.06495312132598201	2.214436009487581	3.432322004530545e-4	-0.06562585643886999	-0.06428038621309402	0.04157198590387359	4.6040135424834764e-5	0.04148174723844092	0.041662224569306266	SK-N-SH	Mismatched
SKNSH_skew	[0.05,0.2)	Inactive cCRE	K562	18391853	18382848	3185806.344999997	2489046.828575002	18348352	-1193907.0865704897	40693186.542131945	762437	1292360	1657391	-0.06506890027891822	2.2135776845000183	3.473352432934694e-4	-0.06574967735577342	-0.06438812320206302	0.04155343215565082	4.6589588225129186e-5	0.041462116562729565	0.041644747748572075	SK-N-SH	Mismatched
SKNSH_skew	[0.05,0.2)	Inactive cCRE	SK-N-SH	18670136	18661230	3218266.214999997	2498119.107381002	18625563	-1369057.991311902	40157826.0841885	734536	1319120	1699708	-0.0735042474319784	2.15065695772543	3.3980586239736385e-4	-0.07417026692227724	-0.07283822794167957	0.03943698238812969	4.509828892869205e-5	0.039348589741829455	0.039525375034429926	SK-N-SH	Matched
SKNSH_skew	[0.05,0.2)	Other cCREs	HepG2	553742	553604	88698.242	55631.922654	552945	-53063.0729978265	1584811.2006774857	28047	84054	151183	-0.09596446843325557	2.8569240846881674	0.002273046825847978	-0.1004196402119176	-0.09150929665459354	0.05072294712855709	2.95092222478257e-4	0.050144566372499706	0.05130132788461448	SK-N-SH	Mismatched
SKNSH_skew	[0.05,0.2)	Other cCREs	K562	760958	760755	125367.533	83913.789481	759834	-77269.19698114427	1995410.7811143496	35427	113893	193206	-0.10169220774688191	2.61577623751865	0.0018554144461611947	-0.10532882006135785	-0.09805559543240597	0.04662465749097829	2.4186911944763283e-4	0.04615059401686093	0.04709872096509565	SK-N-SH	Mismatched
SKNSH_skew	[0.05,0.2)	Other cCREs	SK-N-SH	851731	851405	151697.661	113908.281407	851149	12990.347828618473	3106449.688209429	67115	169793	212488	0.015262131340832772	3.649484493665855	0.002070679885197141	0.011203598765846375	0.01932066391581917	0.07885223386269619	2.92125087606612e-4	0.07827966869098722	0.07942479903440515	SK-N-SH	Matched
SKNSH_skew	[0.05,0.2)	PLS	HepG2	152194	152152	21886.462	7041.140336	152113	32119.063966701873	954289.5430631066	21136	66302	77192	0.2111526560300689	6.229012289611193	0.006399210966369155	0.19861020253598538	0.22369510952415245	0.13894933371901153	8.868688925874278e-4	0.13721107068954017	0.14068759674848288	SK-N-SH	Mismatched
SKNSH_skew	[0.05,0.2)	PLS	K562	171266	171216	25020.054	8281.067844	171188	40560.84694594306	1020991.2155512986	23581	73471	86127	0.23693744272929798	5.90804694399103	0.005874694806379867	0.22542304090879345	0.24845184454980251	0.13774914129495058	8.329608868954677e-4	0.13611653795663547	0.1393817446332657	SK-N-SH	Mismatched
SKNSH_skew	[0.05,0.2)	PLS	SK-N-SH	195726	195650	28731.83	9139.174338	195631	69999.34095816615	1204510.370884562	30096	81711	98339	0.3578131326740964	6.029053250581191	0.005551440921479911	0.3469323084679958	0.36869395688019707	0.1538406489769004	8.157231606869517e-4	0.15224183158195398	0.1554394663718468	SK-N-SH	Matched
SKNSH_skew	[0.05,0.2)	dELS	HepG2	293996	293983	48927.23	33276.898736	293835	14895.611967692254	966331.9471730744	20799	52510	75153	0.0506937974294834	3.2861303730589246	0.0033441875992626584	0.044139189734928586	0.05724840512403821	0.07078462402368677	4.731249990310442e-4	0.06985729902558592	0.07171194902178761	SK-N-SH	Mismatched
SKNSH_skew	[0.05,0.2)	dELS	K562	349237	349191	59073.848	42389.573734	348938	-13205.525998756644	1017248.134808976	18585	58753	85733	-0.03784490654143901	2.913845115054358	0.0028897421846254554	-0.0435088012233049	-0.032181011859573116	0.0532616109452109	3.80143885162714e-4	0.052516528930291975	0.05400669296012982	SK-N-SH	Mismatched
SKNSH_skew	[0.05,0.2)	dELS	SK-N-SH	115350	115345	19922.737	13744.103519	115275	28477.903952864817	611825.0570552639	14005	24117	43164	0.24704319195718774	5.246541152059423	0.006746351674476974	0.23382034267521287	0.26026604123916264	0.12149208414660594	9.622308246639037e-4	0.11960611173026468	0.12337805656294719	SK-N-SH	Matched
