skew_type	skew_bin	ccre_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint	phyloP_mean	phyloP_var	phyloP_se	phyloP_lci	phyloP_uci
K562_skew	[-0.5,-0.2)	pELS	478900	478318	183447.504	279096.478524	478203	98821.7010202317	1738438.1782750762	43653	126280	147931	0.2066521979582556	3.592658450933438	0.0027409544447457614	0.2012799272465539	0.21202446866995728
K562_skew	[-1.0,-0.5)	Other cCREs	265519	265341	146029.312	284526.634776	264004	-49655.614917967345	504565.645848533	6827	11087	35257	-0.18808660064986646	1.8758350853415824	0.0026655821639625355	-0.19331114169123303	-0.18286205960849988
K562_skew	[-1.0,-0.5)	PLS	66434	66401	17812.489	18374.019599	66397	114989.46897344844	758199.7492562591	22250	25265	40558	1.7318473571614448	8.420018394379095	0.011261138284076535	1.7097755261246548	1.7539191881982348
K562_skew	[-1.0,-0.5)	dELS	786391	786114	419737.193	787175.806867	785041	-8342.77008341054	2434244.345295436	49340	77696	242114	-0.010627177540294762	3.1006772714722586	0.0019873854840153165	-0.014522453088964781	-0.006731901991624742
K562_skew	[-1.0,-0.5)	non-cCRE	1380720	1379709	902869.909	1805670.986047	1369643	-440393.5741314038	2144717.03171406	15612	60423	29880	-0.3215389514869231	1.46250870201576	0.0010333454660894444	-0.3235643086004584	-0.3195135943733878
K562_skew	[-1.0,-0.5)	pELS	143498	143291	57471.002	88007.12236000001	143283	64243.19600357826	698775.463806054	18568	39874	57751	0.4483657935943431	4.675890985935935	0.005712613682147055	0.43716907077733486	0.4595625164113513
K562_skew	[-1.5,-1.0)	Other cCREs	62210	62190	34354.607	67823.101567	61822	-5324.757992707776	149381.16731627783	2434	2686	12261	-0.08613047123528478	2.4089313243259096	0.006242243188006385	-0.0983652678837773	-0.07389567458679226
K562_skew	[-1.5,-1.0)	PLS	17763	17759	5024.809	5555.496571	17742	44235.81997553328	288143.01549941406	7856	6985	12163	2.49328260486604	10.0248359755612	0.023770447090073362	2.4466925285694963	2.539872681162584
K562_skew	[-1.5,-1.0)	dELS	184815	184781	98933.595	188308.812667	184452	30584.802953285533	722251.3538257565	15960	19121	75130	0.16581442843279298	3.8881868474843064	0.004591259913832234	0.15681555900168181	0.17481329786390415
K562_skew	[-1.5,-1.0)	non-cCRE	239673	239546	169933.463	359707.921847	237550	-71917.73781182666	379671.6051991246	2969	11340	7047	-0.30274779125163825	1.506630922145661	0.0025184070181890755	-0.30768386900728883	-0.2978117134959877
K562_skew	[-1.5,-1.0)	pELS	32016	31992	12854.472	19891.529862	31962	24452.744002623844	213221.24871489237	5575	9050	15691	0.7650567549785321	6.085964511057983	0.013799003798145165	0.7380107075341675	0.7921028024228967
K562_skew	[0.05,0.2)	Other cCREs	3774297	3771937	740105.343	736346.6073949999	3755576	-361262.57555983344	5988910.987097038	95858	125154	176304	-0.09619365326645858	1.5854189625198507	6.497312368105617e-4	-0.09746712649060728	-0.09492018004230988
K562_skew	[0.05,0.2)	PLS	295060	294298	48730.037	29936.119097	294818	83501.75398808917	1547417.6403407855	37972	102639	110059	0.2832315326339951	5.168519151138205	0.004187029946554671	0.27502495393874793	0.29143811132924224
K562_skew	[0.05,0.2)	dELS	9957325	9955022	1954904.564	1900065.875712	9943692	-258350.72857899545	23532229.703043405	469298	770144	1240070	-0.025981368749051704	2.3658737381820907	4.877777093076316e-4	-0.026937413059294663	-0.025025324438808744
K562_skew	[0.05,0.2)	non-cCRE	41993362	41976488	7893980.500999992	7620535.799336984	41519348	-5742193.914478938	50382712.80672434	549570	1124016	247622	-0.13830163986387595	1.1943482148680116	1.6960561262202058e-4	-0.1386340668646151	-0.1379692128631368
K562_skew	[0.05,0.2)	pELS	1536617	1535282	272108.023	216613.310731	1534927	84476.26301245096	4133176.118675195	91969	360384	267442	0.055036013447187365	2.6897237273510735	0.0013237621957519702	0.052441439543513504	0.057630587350861226
K562_skew	[0.2,0.5)	Other cCREs	800006	799374	164582.698	182677.100604	795045	-101674.94884848726	1244235.686094349	17969	30076	47626	-0.12788577860182412	1.54863492598719	0.0013956569077808762	-0.13062126614107464	-0.1251502910625736
K562_skew	[0.2,0.5)	PLS	104471	104296	16583.508	9604.97434	104407	54296.33794560494	634757.9649529645	17053	37764	43670	0.5200449964619703	5.8092583383918965	0.007459256415520941	0.5054248538875493	0.5346651390363913
K562_skew	[0.2,0.5)	dELS	2312498	2311771	464811.034	489504.355922	2308840	-80218.48816109326	5552298.33386523	110026	199991	370698	-0.03474406548790443	2.4035938484490345	0.001020313476652235	-0.03674387990214281	-0.03274425107366605
K562_skew	[0.2,0.5)	non-cCRE	6505091	6501311	1325961.677	1506377.022771	6437460	-1043411.1872843415	8178462.913572784	83401	220740	63971	-0.16208429835437294	1.244177608492217	4.3962655632439127e-4	-0.16294596640476874	-0.16122263030397713
