skew_type	skew_bin	ccre_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint	phyloP_mean	phyloP_var	phyloP_se	phyloP_lci	phyloP_uci
K562_skew	[0.2,0.5)	pELS	396782	396440	69803.876	56986.087414	396291	57402.16302840331	1207425.9148693106	29833	102276	91491	0.14484851543033606	3.025842935153943	0.0027632239587138036	0.139432596471257	0.1502644343894151
K562_skew	[0.5,1.0)	Other cCREs	185851	185684	38842.777	45499.592295	184551	-30215.955974817625	285015.33254885324	3595	7338	12336	-0.16372686127313113	1.5175733888741763	0.002867587310066983	-0.16934733240086242	-0.15810639014539984
K562_skew	[0.5,1.0)	PLS	28641	28597	4502.571	2637.613923	28621	19989.61500124773	193732.71712214287	5336	10537	12327	0.6984247580883872	6.281323378777653	0.014814369562546812	0.6693885937457955	0.7274609224309789
K562_skew	[0.5,1.0)	dELS	576858	576675	117661.531	130179.350943	575917	-29348.65594935732	1409411.1501498283	27387	53381	105765	-0.05095987086569301	2.444654335758283	0.002060292022866835	-0.054998043230512	-0.046921698500874014
K562_skew	[0.5,1.0)	non-cCRE	1270976	1270070	253564.361	284875.714089	1259669	-231647.09965537747	1644524.346431946	15508	50906	16945	-0.18389521346907597	1.2717045710388197	0.0010047659182477492	-0.18586455466884155	-0.1819258722693104
K562_skew	[0.5,1.0)	pELS	105478	105369	18232.417	14751.974009	105333	21562.818986295595	360309.3503935287	9150	28652	27333	0.20471095465139696	3.3787947170268184	0.005663679594168609	0.1936101426468265	0.21581176665596744
K562_skew	[1.0,1.5)	Other cCREs	34527	34506	7603.594	9680.872094	34298	-6559.164991383676	52313.76881952174	593	1435	2515	-0.19124045108705104	1.4887421975045962	0.006588330105346799	-0.20415357809353077	-0.1783273240805713
K562_skew	[1.0,1.5)	PLS	5381	5370	881.8820000000001	571.639032	5377	4082.1300043101655	36666.7316896274	1041	1912	2219	0.759183560407321	6.243981714826945	0.0340769559645315	0.6923927267168393	0.8259743940978028
K562_skew	[1.0,1.5)	dELS	113476	113447	24260.435	29013.397759	113292	-6913.078991728254	275518.45277405216	5471	10821	21925	-0.06102001016601573	2.4282301032182474	0.0046296194889869765	-0.0700940643644302	-0.05194595596760125
K562_skew	[1.0,1.5)	non-cCRE	214668	214525	38608.692	39649.842886	212901	-43541.4759497327	284953.1032561265	2478	9439	3309	-0.20451513120996473	1.2966097350361268	0.0024678331192640453	-0.20935208412372225	-0.1996781782962072
K562_skew	[1.0,1.5)	pELS	21459	21431	3726.042	3120.873492	21434	4102.7839999975395	72211.41555162484	1871	5874	5867	0.19141476159361479	3.3325284435401117	0.012469106067329842	0.1669753137016483	0.21585420948558126
K562_skew	[1.5,Inf)	Other cCREs	11335	11330	2305.2509999999997	2794.744737	11270	-2554.4329939259924	17728.41409853156	190	454	697	-0.22665776343620164	1.5218237669075034	0.011620377135253756	-0.249433702621299	-0.2038818242511043
K562_skew	[1.5,Inf)	PLS	1520	1515	213.009	106.307843	1520	1113.4789987480035	9503.56604139788	293	525	638	0.7325519728605286	5.719476500412287	0.061341776034879746	0.6123220918321644	0.8527818538888929
K562_skew	[1.5,Inf)	dELS	38078	38064	8057.987	9772.604171	38020	-3865.2129888556674	91082.73481225426	1656	3803	7288	-0.10166262464112749	2.3853806548044454	0.007920868260030106	-0.1171875264307865	-0.08613772285146848
K562_skew	[1.5,Inf)	non-cCRE	68402	68367	10498.375	8861.733853	67940	-19876.644980281813	104260.69438760327	752	3280	1135	-0.2925617453677041	1.4490285173481772	0.0046182314558952595	-0.3016134790212588	-0.28351001171414936
K562_skew	[1.5,Inf)	pELS	7584	7545	1258.67	1055.669386	7573	1594.4730086486086	23518.14813123304	660	2125	2172	0.2105470762773813	3.0616001718249968	0.02010667501132954	0.17113799325517542	0.2499561592995872
SKNSH_skew	(-Inf,-1.5)	Other cCREs	17438	17431	14866.679	32501.089435	17319	-6569.273998489603	34867.76415406952	291	649	2504	-0.3793102372244127	1.869498283595696	0.010389655064681017	-0.3996739611511875	-0.35894651329763794
SKNSH_skew	(-Inf,-1.5)	PLS	6182	6181	2108.5950000000003	2671.684857	6175	19409.44899485783	137319.5792863247	3207	2456	3989	3.1432306064547095	12.360091537296077	0.044739627368273825	3.0555409368128927	3.2309202760965263
