Term	Rank	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Regulation of Lipid Storage (GO:0010883)	96	0.0477044718339271	0.151148370796347	0	0	21.989417989418	66.9078647970469	PLA2G10
Phosphatidylglycerol Metabolic Process (GO:0046471)	97	0.0498194086657991	0.151148370796347	0	0	20.9886363636364	62.952279881297	PLA2G10
Glycerophospholipid Catabolic Process (GO:0046475)	98	0.0498194086657991	0.151148370796347	0	0	20.9886363636364	62.952279881297	PLA2G10
Regulation of Myelination (GO:0031641)	99	0.0498194086657991	0.151148370796347	0	0	20.9886363636364	62.952279881297	NCMAP
Regulation of Chromosome Segregation (GO:0051983)	100	0.0498194086657991	0.151148370796347	0	0	20.9886363636364	62.952279881297	RMI2
Generation of Neurons (GO:0048699)	101	0.0500162359792895	0.151148370796347	0	0	5.8875	17.6354622843179	WNT10A;SEMA3A
Extracellular Matrix Organization (GO:0030198)	102	0.051122535842139	0.151148370796347	0	0	5.81410934744268	17.2884277799007	HPSE2;TLL1
Negative Chemotaxis (GO:0050919)	103	0.0519297752737411	0.151148370796347	0	0	20.0748792270531	59.3787414637129	SEMA3A
Regulation of Plasma Membrane Bounded Cell Projection Organization (GO:0120035)	104	0.0519297752737411	0.151148370796347	0	0	20.0748792270531	59.3787414637129	KIF26A
Late Endosome to Vacuole Transport via Multivesicular Body Sorting Pathway (GO:0032511)	105	0.0519297752737411	0.151148370796347	0	0	20.0748792270531	59.3787414637129	STAM2
Regulation of Dendrite Morphogenesis (GO:0048814)	106	0.0540355812448263	0.151148370796347	0	0	19.2372685185185	56.1365144504465	SS18L1
Cardiac Conduction System Development (GO:0003161)	107	0.0540355812448263	0.151148370796347	0	0	19.2372685185185	56.1365144504465	NPPB
Negative Regulation of Signaling (GO:0023057)	108	0.0561368361674614	0.151148370796347	0	0	18.4666666666667	53.1833179476235	KIF26A
Response to Zinc Ion (GO:0010043)	109	0.0561368361674614	0.151148370796347	0	0	18.4666666666667	53.1833179476235	ZACN
Axonogenesis (GO:0007409)	110	0.056209341237084	0.151148370796347	0	0	5.50509607351713	15.8473676951967	SEMA3A;PLA2G10
Protein Methylation (GO:0006479)	111	0.0582335495761615	0.151148370796347	0	0	17.7553418803419	50.483650593469	NTMT2
Morphogenesis of an Epithelium (GO:0002009)	112	0.0582335495761615	0.151148370796347	0	0	17.7553418803419	50.483650593469	WNT10A
Regulation of Neuron Migration (GO:2001222)	113	0.0582335495761615	0.151148370796347	0	0	17.7553418803419	50.483650593469	KIF26A
