Term	Rank	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
CTLA4 Inhibitory Signaling	178	0.21891288650344	0.583578041920027	0	0	4.24407216494845	6.4470911149908	AKT2
Constitutive Signaling by AKT1 E17K in Cancer	179	0.21891288650344	0.583578041920027	0	0	4.24407216494845	6.4470911149908	AKT2
RHOBTB1 GTPase Cycle	180	0.21891288650344	0.583578041920027	0	0	4.24407216494845	6.4470911149908	TRA2B
RHOBTB2 GTPase Cycle	181	0.21891288650344	0.583578041920027	0	0	4.24407216494845	6.4470911149908	TRA2B
Opioid Signalling	182	0.22722725985485	0.583578041920027	0	0	2.26763385146805	3.36019031207898	PDE4C;PRKACB
RAB GEFs Exchange GTP for GDP on RABs	183	0.22722725985485	0.583578041920027	0	0	2.26763385146805	3.36019031207898	DENND2D;AKT2
Collagen Formation	184	0.22722725985485	0.583578041920027	0	0	2.26763385146805	3.36019031207898	LAMC2;COL6A6
Blood Group Systems Biosynthesis	185	0.228054700811899	0.583578041920027	0	0	4.04172803141875	5.97436016615605	B3GALT2
Signaling by Erythropoietin	186	0.228054700811899	0.583578041920027	0	0	4.04172803141875	5.97436016615605	PIK3CG
Interleukin-6 Family Signaling	187	0.228054700811899	0.583578041920027	0	0	4.04172803141875	5.97436016615605	IL11RA
Triglyceride Catabolism	188	0.228054700811899	0.583578041920027	0	0	4.04172803141875	5.97436016615605	PRKACB
Factors Involved in Megakaryocyte Development and Platelet Production	189	0.228211021730345	0.583578041920027	0	0	1.85110960144928	2.7349858256969	DOCK6;MYB;PRKACB
Signaling by Rho GTPases	190	0.228618201989289	0.583578041920027	0	0	1.3660775566232	2.01592325547484	DOCK6;ARHGAP11A;ZNF512B;DIAPH1;CENPH;TRA2B;MCAM;ARHGEF1;SCAI
Regulation of CDH11 Expression and Function	191	0.237090061848369	0.598899374981556	0	0	3.85777881911903	5.55255970120917	CTNND1
Interleukin-20 Family Signaling	192	0.237090061848369	0.598899374981556	0	0	3.85777881911903	5.55255970120917	IL19
P75 NTR Receptor-Mediated Signalling	193	0.244510624327274	0.600058374028454	0	0	2.15229225421394	3.03149614519758	MAG;ARHGEF1
Cell Recruitment (Pro-Inflammatory Response)	194	0.246020203008162	0.600058374028454	0	0	3.68982519049753	5.17439543653357	PSTPIP1
Purinergic Signaling in Leishmaniasis Infection	195	0.246020203008162	0.600058374028454	0	0	3.68982519049753	5.17439543653357	PSTPIP1
Signaling by ALK	196	0.246020203008162	0.600058374028454	0	0	3.68982519049753	5.17439543653357	MYCN
