skew_type	skew_bin	ccre_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint
K562_skew	[-1.0,-0.5)	Other cCREs	265519	265341	146029.312	284526.634776	264004	-49655.614917967345	504565.645848533	6827	11087	35257
K562_skew	[-1.0,-0.5)	PLS	66434	66401	17812.489	18374.019599	66397	114989.46897344843	758199.7492562591	22250	25265	40558
K562_skew	[-1.0,-0.5)	dELS	786391	786114	419737.193	787175.806867	785041	-8342.77008341054	2434244.345295436	49340	77696	242114
K562_skew	[-1.0,-0.5)	non-cCRE	1380720	1379709	902869.909	1805670.986047	1369643	-440393.5741314038	2144717.03171406	15612	60423	29880
K562_skew	[-1.0,-0.5)	pELS	143498	143291	57471.002	88007.12236000001	143283	64243.19600357826	698775.463806054	18568	39874	57751
K562_skew	[-1.5,-1.0)	Other cCREs	62210	62190	34354.607	67823.101567	61822	-5324.757992707776	149381.16731627783	2434	2686	12261
K562_skew	[-1.5,-1.0)	PLS	17763	17759	5024.809	5555.496571	17742	44235.81997553328	288143.01549941406	7856	6985	12163
K562_skew	[-1.5,-1.0)	dELS	184815	184781	98933.595	188308.812667	184452	30584.802953285533	722251.3538257565	15960	19121	75130
K562_skew	[-1.5,-1.0)	non-cCRE	239673	239546	169933.463	359707.921847	237550	-71917.73781182666	379671.6051991246	2969	11340	7047
K562_skew	[-1.5,-1.0)	pELS	32016	31992	12854.472	19891.529862	31962	24452.744002623844	213221.24871489237	5575	9050	15691
K562_skew	[0.05,0.2)	Other cCREs	3774297	3771937	740105.343	736346.6073949999	3755576	-361262.57555983344	5988910.987097038	95858	125154	176304
K562_skew	[0.05,0.2)	PLS	295060	294298	48730.037	29936.119097	294818	83501.75398808917	1547417.6403407855	37972	102639	110059
K562_skew	[0.05,0.2)	dELS	9957325	9955022	1954904.564	1900065.875712	9943692	-258350.72857899542	23532229.703043405	469298	770144	1240070
K562_skew	[0.05,0.2)	non-cCRE	41993362	41976488	7893980.500999992	7620535.799336984	41519348	-5742193.914478938	50382712.80672434	549570	1124016	247622
K562_skew	[0.05,0.2)	pELS	1536617	1535282	272108.023	216613.310731	1534927	84476.26301245096	4133176.1186751956	91969	360384	267442
K562_skew	[0.2,0.5)	Other cCREs	800006	799374	164582.698	182677.100604	795045	-101674.94884848726	1244235.686094349	17969	30076	47626
K562_skew	[0.2,0.5)	PLS	104471	104296	16583.508	9604.97434	104407	54296.33794560494	634757.9649529645	17053	37764	43670
K562_skew	[0.2,0.5)	dELS	2312498	2311771	464811.034	489504.355922	2308840	-80218.48816109326	5552298.33386523	110026	199991	370698
K562_skew	[0.2,0.5)	non-cCRE	6505091	6501311	1325961.677	1506377.022771	6437460	-1043411.1872843417	8178462.913572784	83401	220740	63971
K562_skew	[0.2,0.5)	pELS	396782	396440	69803.876	56986.087414	396291	57402.16302840331	1207425.9148693106	29833	102276	91491
K562_skew	[0.5,1.0)	Other cCREs	185851	185684	38842.777	45499.592295	184551	-30215.955974817625	285015.33254885324	3595	7338	12336
K562_skew	[0.5,1.0)	PLS	28641	28597	4502.571	2637.613923	28621	19989.61500124773	193732.71712214287	5336	10537	12327
K562_skew	[0.5,1.0)	dELS	576858	576675	117661.531	130179.350943	575917	-29348.65594935732	1409411.1501498285	27387	53381	105765
K562_skew	[0.5,1.0)	non-cCRE	1270976	1270070	253564.361	284875.714089	1259669	-231647.09965537747	1644524.346431946	15508	50906	16945
K562_skew	[0.5,1.0)	pELS	105478	105369	18232.417	14751.974009	105333	21562.818986295595	360309.3503935287	9150	28652	27333
K562_skew	[1.0,1.5)	Other cCREs	34527	34506	7603.594	9680.872094	34298	-6559.164991383676	52313.76881952174	593	1435	2515
K562_skew	[1.0,1.5)	PLS	5381	5370	881.8820000000001	571.639032	5377	4082.1300043101655	36666.7316896274	1041	1912	2219
K562_skew	[1.0,1.5)	dELS	113476	113447	24260.434999999998	29013.397759	113292	-6913.078991728254	275518.45277405216	5471	10821	21925
K562_skew	[1.0,1.5)	non-cCRE	214668	214525	38608.692	39649.842886	212901	-43541.4759497327	284953.1032561265	2478	9439	3309
K562_skew	[1.0,1.5)	pELS	21459	21431	3726.042	3120.873492	21434	4102.7839999975395	72211.41555162484	1871	5874	5867
K562_skew	[1.5,Inf)	Other cCREs	11335	11330	2305.2509999999997	2794.744737	11270	-2554.4329939259924	17728.41409853156	190	454	697
K562_skew	[1.5,Inf)	PLS	1520	1515	213.009	106.307843	1520	1113.4789987480035	9503.566041397879	293	525	638
K562_skew	[1.5,Inf)	dELS	38078	38064	8057.987	9772.604171	38020	-3865.2129888556674	91082.73481225426	1656	3803	7288
K562_skew	[1.5,Inf)	non-cCRE	68402	68367	10498.375	8861.733853	67940	-19876.644980281813	104260.69438760327	752	3280	1135
K562_skew	[1.5,Inf)	pELS	7584	7545	1258.67	1055.669386	7573	1594.4730086486086	23518.14813123304	660	2125	2172
SKNSH_skew	(-Inf,-1.5)	Other cCREs	17438	17431	14866.679	32501.089435	17319	-6569.273998489603	34867.76415406952	291	649	2504
SKNSH_skew	(-Inf,-1.5)	PLS	6182	6181	2108.5950000000003	2671.684857	6175	19409.44899485783	137319.5792863247	3207	2456	3989
SKNSH_skew	(-Inf,-1.5)	dELS	53044	53041	42045.835	89042.762151	52964	-1441.7200035710105	187469.42239850058	3688	5195	21465
SKNSH_skew	(-Inf,-1.5)	non-cCRE	78388	78356	77768.396	175436.839522	77620	-36795.511966856204	154960.91288460582	749	2988	1900
