skew_type	skew_bin	ccre_class	cell_line	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint
HepG2_skew	[-1.0,-0.5)	Other cCREs	MCF-7	57061	57050	26138.029	42576.285949	56997	42902.24799052287	439721.70484982926	10663	9660	33404
HepG2_skew	[-1.0,-0.5)	Other cCREs	SK-N-SH	68617	68597	30693.240999999998	47430.104177	68570	59303.66899586608	558922.7059750638	14149	14930	38643
HepG2_skew	[-1.0,-0.5)	PLS	H1	25785	25781	4566.836	1903.516082	25772	68991.03101606226	438894.7056158463	12264	11361	18274
HepG2_skew	[-1.0,-0.5)	PLS	HCT116	24189	24186	4476.557	2264.864909	24180	63343.67201728281	401073.1398112096	11373	10802	17185
HepG2_skew	[-1.0,-0.5)	PLS	HepG2	22970	22968	4395.473	2536.491191	22957	59400.45502454895	379906.92408402957	10653	10302	16213
HepG2_skew	[-1.0,-0.5)	PLS	K562	24580	24579	4674.9800000000005	2588.74213	24570	62821.954024870305	398294.4505920761	11282	10906	17344
HepG2_skew	[-1.0,-0.5)	PLS	MCF-7	25532	25530	4666.19	2215.250498	25519	67958.77300601536	427691.38686587627	12140	11327	18062
HepG2_skew	[-1.0,-0.5)	PLS	SK-N-SH	27182	27175	4856.157	2028.943561	27169	72867.36099907767	459701.35401579045	12991	11912	19089
HepG2_skew	[-1.0,-0.5)	dELS	H1	11346	11343	4773.1269999999995	7363.507921	11333	8995.283992986308	75151.87919665856	2078	2226	6793
HepG2_skew	[-1.0,-0.5)	dELS	HCT116	32909	32903	13716.173	22637.745643	32880	21137.799973160385	188241.70851898057	5282	6370	19549
HepG2_skew	[-1.0,-0.5)	dELS	HepG2	30892	30889	12697.433	21082.624510999998	30881	18541.73599138007	167443.8755747084	4701	5914	15948
HepG2_skew	[-1.0,-0.5)	dELS	K562	30888	30883	14582.469	24680.991641	30855	12683.395000681166	150042.38011828065	3892	5956	16614
HepG2_skew	[-1.0,-0.5)	dELS	MCF-7	22317	22302	10775.092999999999	18175.115999	22291	13115.302982549993	138982.9100221767	3773	4996	13206
HepG2_skew	[-1.0,-0.5)	dELS	SK-N-SH	10788	10785	4449.492	6388.166008	10783	13272.078970535078	106464.59502164942	2807	2557	6925
HepG2_skew	[-1.0,-0.5)	non-cCRE	H1	911804	911429	672152.143	1461963.019157	903155	-295266.67158789205	1552838.0391167442	11886	39111	21118
HepG2_skew	[-1.0,-0.5)	non-cCRE	HCT116	911804	911429	672152.143	1461963.019157	903155	-295266.67158789205	1552838.0391167442	11886	39111	21118
HepG2_skew	[-1.0,-0.5)	non-cCRE	HepG2	911804	911429	672152.143	1461963.019157	903155	-295266.67158789205	1552838.0391167442	11886	39111	21118
