skew_type	skew_bin	ccre_class	af_class	mut_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint
HepG2_skew	[-0.05,0.05)	Other cCREs	LOW_FREQ	non-CpG-tv	151415	151415	10793.642	3299.621494	150316	-7278.508995843122	236000.98217351703	4284	4448	5622
HepG2_skew	[-0.05,0.05)	Other cCREs	LOW_FREQ	unknown	692	0	0	0	435	-163.9779990529642	433.24874715246693	0	32	15
HepG2_skew	[-0.05,0.05)	Other cCREs	RARE	CpG	211392	211392	464959.12	1082819.692332	209056	-169593.430938704	579407.201946275	2070	8956	8520
HepG2_skew	[-0.05,0.05)	Other cCREs	RARE	non-CpG-ti	606378	606378	95514.694	21286.212806	603709	-10924.403978045912	919533.9521240823	17759	17608	21332
HepG2_skew	[-0.05,0.05)	Other cCREs	RARE	non-CpG-tv	367859	367859	25884.208	7027.618424	365229	-5704.924986805189	569477.672737669	11077	11063	13627
HepG2_skew	[-0.05,0.05)	Other cCREs	RARE	unknown	1867	0	0	0	1105	-392.27000088593945	1153.9620705419438	0	76	56
HepG2_skew	[-0.05,0.05)	Other cCREs	SINGLETON	CpG	187369	187369	360679.616	748138.641162	186387	-132243.4389650394	489174.3477558692	2409	8597	8086
HepG2_skew	[-0.05,0.05)	Other cCREs	SINGLETON	non-CpG-ti	5809013	5809013	834064.756	157721.493036	5792333	356721.79725065874	8365396.055943307	188846	159499	206848
HepG2_skew	[-0.05,0.05)	Other cCREs	SINGLETON	non-CpG-tv	4032680	4032680	228717.268	24000.84133	4015191	227420.00336473566	6076481.62592784	135567	113328	146430
HepG2_skew	[-0.05,0.05)	Other cCREs	SINGLETON	unknown	5599	0	0	0	3797	-717.4260006598197	2456.41970284237	5	255	110
HepG2_skew	[-0.05,0.05)	Other cCREs	ULTRARARE	CpG	758999	758999	1594760.692	3555738.398612	753946	-582435.3067169237	2057375.605218914	8703	31981	31520
HepG2_skew	[-0.05,0.05)	Other cCREs	ULTRARARE	non-CpG-ti	3799471	3799471	592776.971	128347.733931	3785699	27746.48519941097	5671893.878951993	115332	105451	134767
HepG2_skew	[-0.05,0.05)	Other cCREs	ULTRARARE	non-CpG-tv	2303157	2303157	147064.598	22021.261954	2289968	53901.3791695454	3521707.7075655744	74514	66722	84768
HepG2_skew	[-0.05,0.05)	Other cCREs	ULTRARARE	unknown	5644	0	0	0	3315	-799.0650009140373	2522.2295921828377	2	260	97
HepG2_skew	[-0.05,0.05)	PLS	COMMON	CpG	2174	2174	2394.193	4103.454031	2171	-1518.219998387038	9192.988230446945	71	768	753
HepG2_skew	[-0.05,0.05)	PLS	COMMON	non-CpG-ti	7144	7144	986.115	181.437979	7135	-864.2030027840523	31032.370775367523	524	2467	1948
HepG2_skew	[-0.05,0.05)	PLS	COMMON	non-CpG-tv	5437	5437	452.544	140.023086	5424	-1194.7629991942092	21028.513551459917	348	2017	1822
HepG2_skew	[-0.05,0.05)	PLS	COMMON	unknown	25	0	0	0	25	-14.894999897107466	55.010981374378034	1	9	6
HepG2_skew	[-0.05,0.05)	PLS	LOW_FREQ	CpG	3099	3099	3606.558	6497.962468	3096	-1659.4449959698838	14331.932941345733	174	968	1196
HepG2_skew	[-0.05,0.05)	PLS	LOW_FREQ	non-CpG-ti	8438	8438	1228.011	233.447705	8426	1440.5739942357168	36971.735335982994	802	2592	2377
HepG2_skew	[-0.05,0.05)	PLS	LOW_FREQ	non-CpG-tv	6663	6663	567.9110000000001	134.76639699999998	6652	-214.02500259841347	30323.271385073116	565	2199	2429
HepG2_skew	[-0.05,0.05)	PLS	LOW_FREQ	unknown	83	0	0	0	83	-64.68000045232479	357.94809245955565	0	62	9
HepG2_skew	[-0.05,0.05)	PLS	RARE	CpG	8646	8646	10143.434	18224.669188	8627	-4246.5440027929135	41178.54266732847	554	2759	3281
HepG2_skew	[-0.05,0.05)	PLS	RARE	non-CpG-ti	21372	21372	3213.538	648.67394	21358	4657.207013051606	111620.42565059656	2317	6600	6447
HepG2_skew	[-0.05,0.05)	PLS	RARE	non-CpG-tv	17921	17921	1545.074	326.565286	17884	1461.6940027893297	91698.7768286328	1859	5921	6512
HepG2_skew	[-0.05,0.05)	PLS	RARE	unknown	1533	0	0	0	1532	-415.6060016162229	3483.9387902153444	41	888	69
HepG2_skew	[-0.05,0.05)	PLS	SINGLETON	CpG	40796	40796	26521.421	31811.064373	40777	-3262.3979977091108	193967.0198845851	3917	15059	20457
HepG2_skew	[-0.05,0.05)	PLS	SINGLETON	non-CpG-ti	201066	201066	28143.072	4929.28198	200947	82566.9609248104	876082.1818367045	24233	61353	58333
HepG2_skew	[-0.05,0.05)	PLS	SINGLETON	non-CpG-tv	180147	180147	12645.323	1527.737701	179996	51298.25895628521	834710.9681512472	20828	58785	61223
HepG2_skew	[-0.05,0.05)	PLS	SINGLETON	unknown	422	0	0	0	421	-74.52499987976654	1137.2746871804154	22	147	67
HepG2_skew	[-0.05,0.05)	PLS	ULTRARARE	CpG	47636	47636	48052.906	78938.139302	47585	-16214.645994794442	222901.1734547878	3661	16020	19670
HepG2_skew	[-0.05,0.05)	PLS	ULTRARARE	non-CpG-ti	137111	137111	20405.811	3966.3590169999998	137016	46057.4270200038	642828.7916244711	16265	42653	41011
HepG2_skew	[-0.05,0.05)	PLS	ULTRARARE	non-CpG-tv	112803	112803	8944.907	1321.181495	112676	21483.961984613317	564963.1460388653	12619	37660	40317
HepG2_skew	[-0.05,0.05)	PLS	ULTRARARE	unknown	2598	0	0	0	2598	70.95800377463512	6284.208054540209	134	1112	188
HepG2_skew	[-0.05,0.05)	dELS	COMMON	CpG	129610	129610	240252.177	504231.638437	129355	-114960.55598862983	436745.99368994887	1740	12536	15003
HepG2_skew	[-0.05,0.05)	dELS	COMMON	non-CpG-ti	502437	502437	73306.058	15313.425856	501757	-78289.0910016742	1057091.992739126	17404	41640	44646
HepG2_skew	[-0.05,0.05)	dELS	COMMON	non-CpG-tv	289594	289594	20075.07	7185.53106	289074	-31511.555981777623	584504.6421708247	10562	23803	27976
HepG2_skew	[-0.05,0.05)	dELS	COMMON	unknown	412	0	0	0	371	-214.1759998919443	755.5385196886469	1	41	33
HepG2_skew	[-0.05,0.05)	dELS	LOW_FREQ	CpG	172730	172730	354853.042	783893.099044	172373	-147616.27400815458	594246.898133879	2832	14507	21693
HepG2_skew	[-0.05,0.05)	dELS	LOW_FREQ	non-CpG-ti	561947	561947	85535.514	18537.873886	561117	23992.121981198983	1172015.4682309616	25884	36553	50718
HepG2_skew	[-0.05,0.05)	dELS	LOW_FREQ	non-CpG-tv	328242	328242	22698.946	6692.88575	327617	13783.955971986301	697211.7229566992	15256	21655	32286
HepG2_skew	[-0.05,0.05)	dELS	LOW_FREQ	unknown	575	0	0	0	476	-211.09899974567819	751.6552146640843	1	35	63
HepG2_skew	[-0.05,0.05)	dELS	RARE	CpG	503444	503444	1038197.398	2297432.896476	502389	-425186.1089719289	1763410.163516782	9006	41864	63468
HepG2_skew	[-0.05,0.05)	dELS	RARE	non-CpG-ti	1368465	1368465	210919.68	46787.908484	1366621	87522.54190368547	2987584.5117394635	66461	89665	124500
HepG2_skew	[-0.05,0.05)	dELS	RARE	non-CpG-tv	813978	813978	55342.479	14208.443437	812428	66614.50392514863	1786116.2248831426	41337	54509	80364
HepG2_skew	[-0.05,0.05)	dELS	RARE	unknown	1461	0	0	0	1226	-538.1159995943308	1755.5211246796216	4	112	179
HepG2_skew	[-0.05,0.05)	dELS	SINGLETON	CpG	568682	568682	1021749.333	2035109.941315	567902	-410814.9870251241	1927822.6568726716	13843	53269	78328
HepG2_skew	[-0.05,0.05)	dELS	SINGLETON	non-CpG-ti	13480916	13480916	1886668.2259999998	347160.36772599997	13466231	2136994.671201205	28349221.42707428	727082	880324	1209114
HepG2_skew	[-0.05,0.05)	dELS	SINGLETON	non-CpG-tv	9125765	9125765	502945.007	50170.44284099997	9112839	1419254.5868210783	20085577.94962245	507618	604079	854873
HepG2_skew	[-0.05,0.05)	dELS	SINGLETON	unknown	5127	0	0	0	4815	-914.8260000289882	3854.351515927089	10	442	458
HepG2_skew	[-0.05,0.05)	dELS	ULTRARARE	CpG	2065020	2065020	4088082.37	8716899.549826	2061912	-1661437.9548505123	7179175.561314598	41643	177040	265291
HepG2_skew	[-0.05,0.05)	dELS	ULTRARARE	non-CpG-ti	8709502	8709502	1325931.4379999998	283312.488422	8698847	826417.8461858836	18961988.538835634	446303	571286	780902
HepG2_skew	[-0.05,0.05)	dELS	ULTRARARE	non-CpG-tv	5175665	5175665	319572.728	45893.009886	5167039	637321.3546216931	11522623.279498572	279256	346383	497116
HepG2_skew	[-0.05,0.05)	dELS	ULTRARARE	unknown	4451	0	0	0	4009	-993.1930041841705	3832.324298571652	17	350	446
HepG2_skew	[-0.05,0.05)	non-cCRE	COMMON	CpG	805472	805472	1645492.945	3738162.594531	795257	-686840.2225822122	1957784.1339269858	3007	27268	3446
