skew_type	skew_bin	ccre_class	af_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint
HepG2_skew	[-0.5,-0.2)	non-cCRE	ULTRARARE	2097054	2095939	1732415.489	3731684.414899	2074540	-763474.1662106893	3606371.805275762	25801	82167	34469
HepG2_skew	[-0.5,-0.2)	pELS	COMMON	8213	8212	4933.927	8992.281099	8191	-2078.038002952352	23862.56077151259	415	2376	2178
HepG2_skew	[-0.5,-0.2)	pELS	LOW_FREQ	11020	11006	7429.497	14214.908211	10993	-836.9409850188525	38505.67529076952	781	2773	3309
HepG2_skew	[-0.5,-0.2)	pELS	RARE	29757	29715	21589.93	41844.518778	29694	-1298.858004710407	110296.91496004854	2245	7448	9019
HepG2_skew	[-0.5,-0.2)	pELS	SINGLETON	215618	215489	47452.897	48432.909663	215371	92298.26702543847	865434.3866382133	24348	58108	69788
HepG2_skew	[-0.5,-0.2)	pELS	ULTRARARE	167755	167554	92421.239	162514.618457	167500	27128.848982352305	660028.2026595474	15773	43452	52578
HepG2_skew	[-1.0,-0.5)	Other cCREs	COMMON	5169	5167	4936.627	10806.250163	5134	-2850.299996991293	11598.030068615219	69	319	680
HepG2_skew	[-1.0,-0.5)	Other cCREs	LOW_FREQ	6253	6249	7002.659	16284.030233	6207	-2824.555004089721	13707.186301651014	108	270	946
HepG2_skew	[-1.0,-0.5)	Other cCREs	RARE	16540	16527	20336.7	48090.57527	16407	-7809.903999958076	39034.614627228606	332	684	2366
HepG2_skew	[-1.0,-0.5)	Other cCREs	SINGLETON	90066	90033	22260.015	30199.240291000002	89596	272.1810216696459	174334.82739215807	3141	3552	14523
HepG2_skew	[-1.0,-0.5)	Other cCREs	ULTRARARE	80388	80365	68866.296	149466.210396	79864	-22369.90898209624	180312.0036969803	2162	3282	12275
HepG2_skew	[-1.0,-0.5)	PLS	COMMON	483	483	212.44	335.207626	483	262.7820011954754	3209.717307728794	93	214	229
HepG2_skew	[-1.0,-0.5)	PLS	LOW_FREQ	831	831	357.052	528.839748	830	1089.875001962413	7740.785244898143	237	345	489
HepG2_skew	[-1.0,-0.5)	PLS	RARE	2384	2383	1134.867	1870.140661	2383	3645.843999913895	27054.861007000087	764	903	1450
HepG2_skew	[-1.0,-0.5)	PLS	SINGLETON	22843	22835	4613.241	3448.043213	22833	52657.11898524873	337806.2158510778	9445	8785	14272
HepG2_skew	[-1.0,-0.5)	PLS	ULTRARARE	16019	16006	6022.365	8386.499925	16010	31452.204992956486	213201.98471274538	5845	5977	9767
HepG2_skew	[-1.0,-0.5)	dELS	COMMON	13782	13777	12115.383	25338.548119	13758	-6488.541005739478	39693.78959440669	448	1662	4078
HepG2_skew	[-1.0,-0.5)	dELS	LOW_FREQ	17717	17713	18432.861	41030.719269	17678	-5329.38100147166	60009.6082027654	855	1717	5722
HepG2_skew	[-1.0,-0.5)	dELS	RARE	48062	48052	54126.356999999996	121714.268619	47963	-13946.453012785056	164178.46271257917	2541	4812	15973
HepG2_skew	[-1.0,-0.5)	dELS	SINGLETON	279624	279595	71329.712	98519.981288	279152	76337.64993602212	999373.6048204132	24572	27202	96181
HepG2_skew	[-1.0,-0.5)	dELS	ULTRARARE	247883	247841	209285.04	438174.802736	247434	-25689.085031795097	892851.9870434963	16351	24686	84307
HepG2_skew	[-1.0,-0.5)	non-cCRE	COMMON	26360	26350	27754.309	62724.874475	26131	-16839.595986169403	56070.260317691296	176	1246	456
HepG2_skew	[-1.0,-0.5)	non-cCRE	LOW_FREQ	31115	31082	39817.919	96124.244089	30771	-17998.819991189874	66296.06509551984	254	1209	560
HepG2_skew	[-1.0,-0.5)	non-cCRE	RARE	83350	83300	116511.418	284374.011174	82459	-49689.261939461925	179978.9292021691	697	3507	1635
HepG2_skew	[-1.0,-0.5)	non-cCRE	SINGLETON	389979	389844	108325.206	161813.958426	386292	-47553.142879444415	531164.0527253541	6415	16539	9808
HepG2_skew	[-1.0,-0.5)	non-cCRE	ULTRARARE	381000	380853	379743.29099999997	856925.930993	377502	-163185.85079162652	719328.731776009	4344	16610	8659
HepG2_skew	[-1.0,-0.5)	pELS	COMMON	1898	1897	1262.4769999999999	2350.821589	1896	-456.73599818290677	6631.886510609606	109	552	671
HepG2_skew	[-1.0,-0.5)	pELS	LOW_FREQ	2531	2531	2016.45	4040.218442	2524	-2.8540006878320057	11474.033534385178	221	617	984
HepG2_skew	[-1.0,-0.5)	pELS	RARE	6703	6691	5637.328	11406.566424	6692	798.021992999013	31195.764497320746	692	1733	2558
HepG2_skew	[-1.0,-0.5)	pELS	SINGLETON	48514	48491	11604.526	12852.350918	48449	36912.00900121289	300544.94620218297	8172	13440	20667
HepG2_skew	[-1.0,-0.5)	pELS	ULTRARARE	38734	38695	24594.906	45299.19948	38659	14279.222997501367	207936.97882203595	5007	10304	15881
HepG2_skew	[-1.5,-1.0)	Other cCREs	COMMON	933	933	982.991	2220.795993	930	-497.75500035332533	1892.3228492216292	11	55	128
HepG2_skew	[-1.5,-1.0)	Other cCREs	LOW_FREQ	1207	1206	1503.607	3640.483811	1196	-634.66600142885	2731.892943599434	18	46	179
HepG2_skew	[-1.5,-1.0)	Other cCREs	RARE	3138	3137	4165.443	10072.602249	3104	-1536.2019987946842	6922.834745809494	49	139	461
HepG2_skew	[-1.5,-1.0)	Other cCREs	SINGLETON	16337	16335	4682.869	7263.971135	16225	-822.8229987473461	25377.93365900245	415	638	2725
HepG2_skew	[-1.5,-1.0)	Other cCREs	ULTRARARE	15148	15148	14750.285	33512.379077	15034	-5473.416982401628	32203.203613521837	286	641	2213
HepG2_skew	[-1.5,-1.0)	PLS	COMMON	86	86	64.727	138.948587	85	55.99599905451768	765.1515506289795	18	38	41
HepG2_skew	[-1.5,-1.0)	PLS	LOW_FREQ	163	162	91.39999999999999	162.714194	162	206.92099981661906	1698.8213382774934	43	50	107
HepG2_skew	[-1.5,-1.0)	PLS	RARE	424	424	247.248	441.261886	424	817.6350007506553	5890.9887897682	149	162	254
HepG2_skew	[-1.5,-1.0)	PLS	SINGLETON	4635	4634	1038.958	939.623192	4631	14850.758985930124	98614.78648501847	2479	1789	3108
HepG2_skew	[-1.5,-1.0)	PLS	ULTRARARE	3225	3225	1377.386	2109.65815	3222	8426.279993070522	58421.1184507453	1492	1235	2105
HepG2_skew	[-1.5,-1.0)	dELS	COMMON	2670	2670	2627.972	5737.380534	2665	-1189.0580005031081	7955.264649273563	100	323	920
HepG2_skew	[-1.5,-1.0)	dELS	LOW_FREQ	3466	3466	4064.659	9462.603099	3462	-1065.215996707906	11083.850773036591	163	337	1296
HepG2_skew	[-1.5,-1.0)	dELS	RARE	9559	9558	11938.875	27783.806433	9537	-2831.265001161723	32806.69669906466	509	967	3537
HepG2_skew	[-1.5,-1.0)	dELS	SINGLETON	52126	52121	14594.595	22288.056179	52040	16125.453995057853	195280.53310461514	4847	4991	21514
HepG2_skew	[-1.5,-1.0)	dELS	ULTRARARE	47812	47811	45168.537000000004	99131.857449	47734	-3554.437008314649	174408.14630220065	3263	4757	18621
HepG2_skew	[-1.5,-1.0)	non-cCRE	COMMON	5770	5767	7446.1539999999995	17360.77807	5722	-3769.560998219997	11886.709362731994	32	277	89
HepG2_skew	[-1.5,-1.0)	non-cCRE	LOW_FREQ	7344	7342	11120.445	27546.061035	7290	-4515.497994930133	15265.560618297977	52	311	133
HepG2_skew	[-1.5,-1.0)	non-cCRE	RARE	20330	20322	33072.22	82991.27039	20158	-12571.11798259267	41315.83808743728	131	932	323
HepG2_skew	[-1.5,-1.0)	non-cCRE	SINGLETON	77070	77038	26541.798	45450.065156	76386	-10066.374949701249	96205.40859589886	1022	3537	1841
HepG2_skew	[-1.5,-1.0)	non-cCRE	ULTRARARE	85969	85940	104122.633	245356.646571	85313	-40754.514920613394	156206.862252615	708	3913	1697
HepG2_skew	[-1.5,-1.0)	pELS	COMMON	336	336	225.646	425.080648	335	-105.75499835610381	1352.8652228152262	19	101	128
HepG2_skew	[-1.5,-1.0)	pELS	LOW_FREQ	455	455	415.88	873.105602	454	17.10499989427627	1843.923286126843	42	118	185
HepG2_skew	[-1.5,-1.0)	pELS	RARE	1185	1184	1158.868	2435.491282	1183	157.94100217940283	6443.034766400041	137	333	481
HepG2_skew	[-1.5,-1.0)	pELS	SINGLETON	8652	8650	2303.298	2924.580848	8644	8294.853001231793	63527.86019218184	1666	2397	4176
HepG2_skew	[-1.5,-1.0)	pELS	ULTRARARE	7186	7180	5325.772	10470.835214	7175	3522.2180140733262	45551.701507384285	1084	1821	3133
HepG2_skew	[0.05,0.2)	Other cCREs	COMMON	97108	97020	25604.958	33179.749584	96573	-38533.657972938265	187648.0289637353	1546	4338	4342
HepG2_skew	[0.05,0.2)	Other cCREs	LOW_FREQ	104512	104329	33197.925	49448.525349	103644	-23838.72100022737	185150.60024207356	2238	3712	4600
HepG2_skew	[0.05,0.2)	Other cCREs	RARE	256789	256368	89862.857	140839.108749	254681	-54545.21192352021	452598.9783443288	5701	9250	11227
HepG2_skew	[0.05,0.2)	Other cCREs	SINGLETON	2277143	2275780	305161.875	148225.769117	2267235	-116687.41880455053	3485647.3351009185	60723	73168	100535
