vep_consequence	af_class	mut_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved
intergenic variant	LOW_FREQ	non-CpG-ti	1678781	1678781	271459.001	59223.327963	1625620	-202130.29665759305	1758262.5195745465	20973
intergenic variant	LOW_FREQ	non-CpG-tv	1086155	1086155	83916.174	25441.634404	1038349	-155777.11375477925	1223620.941714018	13557
intergenic variant	LOW_FREQ	unknown	7404	0	0	0	1970	-903.8369997561679	2504.90595209086	0
intergenic variant	RARE	CpG	1442738	1442738	3408474.369	8510261.854067	1389903	-1216588.7001088343	3576160.8141177185	6570
intergenic variant	RARE	non-CpG-ti	3990356	3990356	649974.47	143671.054624	3854217	-404664.3092162484	4132753.5376118915	52075
intergenic variant	RARE	non-CpG-tv	2619988	2619988	200129.944	53593.770558	2494334	-305902.86331802263	2849987.454445728	34597
intergenic variant	RARE	unknown	18099	0	0	0	4605	-1751.9969977762084	5210.712698826549	5
intergenic variant	SINGLETON	CpG	951011	951011	1918444.736	4165494.445314	938712	-701846.4945079375	2236821.703186931	7755
intergenic variant	SINGLETON	non-CpG-ti	37038468	37038468	5523840.814999993	1075175.7415130008	36154175	-1385603.371923628	35647883.09510809	549524
intergenic variant	SINGLETON	non-CpG-tv	27689254	27689254	1680044.1540000006	193283.09256199907	26778352	-1320019.2066538564	27578255.404023763	414596
intergenic variant	SINGLETON	unknown	42590	0	0	0	16174	-3288.738998361982	11818.933389430429	23
intergenic variant	ULTRARARE	CpG	4481279	4481279	9989204.944	23593398.21878	4400659	-3639625.5476144953	10999266.578070732	26484
intergenic variant	ULTRARARE	non-CpG-ti	24751693	24751693	4001473.385999995	868877.1592680002	23985725	-1968137.2853148405	24877140.568912577	337164
intergenic variant	ULTRARARE	non-CpG-tv	16108819	16108819	1122360.942000001	183008.24552999958	15418966	-1279794.7711697055	16576077.058339953	225684
intergenic variant	ULTRARARE	unknown	50454	0	0	0	13996	-3965.8190020102766	12550.222779977887	11
intron variant	COMMON	CpG	1066092	1066092	2125096.88	4741259.427478	1061567	-955230.2434541561	2964182.0102601936	6193
intron variant	COMMON	non-CpG-ti	3782475	3782475	580532.754	132496.36777	3772951	-1105365.2524052863	6222621.944027703	58470
intron variant	COMMON	non-CpG-tv	2317112	2317112	171514.859	70438.522861	2309079	-555566.2506385313	3550974.3800954665	38310
intron variant	COMMON	unknown	4899	0	0	0	4641	-2905.7599982824177	8949.043171777945	17
intron variant	LOW_FREQ	CpG	1393186	1393186	3076531.992	7206479.532876	1386493	-1216362.8153938535	3908109.8563651326	9877
intron variant	LOW_FREQ	non-CpG-ti	4187677	4187677	670861.842	159832.740868	4175664	-437619.00045886444	5964655.135138443	84480
intron variant	LOW_FREQ	non-CpG-tv	2608231	2608231	192356.206	66534.730338	2597320	-242076.92458095806	3715047.650326086	54566
