vep_consequence	mut_class	n_COMMON	n_SINGLETON	sum_MR_COMMON	sum_MR_SINGLETON	sum_MR_sq_COMMON	sum_MR_sq_SINGLETON	n_phyloP_COMMON	n_phyloP_SINGLETON	sum_phyloP_COMMON	sum_phyloP_SINGLETON	sum_phyloP_sq_COMMON	sum_phyloP_sq_SINGLETON	n_conserved_COMMON	n_conserved_SINGLETON	gw_SINGLETON	gw_COMMON	odds	lci	uci	log2odds	log2lci	log2uci
splice acceptor variant	non-CpG transition	592	28248	72.279	3261.515	11.519169	414.576693	591	28213	278.8229998843746	88973.82479981739	3315.537435102606	653039.0258692177	80	13307	160782109	6484763	1.921519199303828	1.7713033308511708	2.087911028807274	0.9422473914941539	0.824811290826417	1.0620602363171243
splice acceptor variant	non-CpG transversion	334	18955	15.386	867.784	0.991212	57.203102	332	18937	173.99500000430274	61910.04784347958	1491.5835759917095	470510.6117454948	38	8854	116922263	4010613	1.941117462886958	1.7422528392188283	2.16903771885778	0.9568874225322755	0.8009540059217358	1.117055141224073
splice donor variant	CpG transition	151	1377	284.581	2614.057	639.718305	5733.631309	151	1376	-83.78899975866096	6791.430957869046	1149.764208424661	61618.72395749014	11	897	6454395	1815018	2.549751273618814	2.1550935115635856	3.0349734286625436	1.3503565200965972	1.10775047058681	1.601683885672197
splice donor variant	non-CpG transition	855	33462	131.545	5236.028	25.072647	945.464466	854	33420	290.6899986409117	108022.25470459982	5543.0614396271785	855816.5954873358	114	15378	160782109	6484763	1.5768230325580574	1.4733271568115265	1.6895081370689027	0.6570207550065938	0.5590778208032031	0.7566032988773781
splice donor variant	non-CpG transversion	491	26246	30.549	1653.497	2.913725	156.985835	488	26208	260.2380008720794	81951.69078555354	3200.313594707942	653950.9061695902	60	11868	116922263	4010613	1.830098359114763	1.6738385179558095	2.0048717834419927	0.8719211886151871	0.7431603519135032	1.0035099756791213
splice region variant	CpG transition	2552	18285	4710.869	26677.432	10106.859513	51403.414026	2547	18269	-3211.4039979147487	-2800.5270029276135	21060.70254317941	170175.84125041554	96	2494	6454395	1815018	2.016978909491814	1.9349548242509749	2.1031926115100212	1.0121959985117817	0.9522998838942822	1.0725809789074254
splice region variant	non-CpG transition	9248	279048	1310.551	39071.193	252.507221	7126.664349	9234	278750	1388.0400044966946	264192.65973678447	38431.46097971943	1862437.7504535017	934	54057	160782109	6484763	1.2172435608935592	1.1922644849198951	1.2429020593266127	0.2836178689031995	0.25370431026018675	0.3137126165104202
splice region variant	non-CpG transversion	4944	180501	331.093	9834.593	79.070553	979.393045	4933	180227	549.3819987042808	128720.77087310818	18497.67034685333	1038677.5008162722	418	28970	116922263	4010613	1.2524638956978291	1.217552607271147	1.2886393814135233	0.3247690159965773	0.28398410874255403	0.3658485899711843
start lost	CpG transition	2	2	4.374	2.719	10.011506	5.476865	2	2	0.6810000166296959	9.71799969673156	0.33539302068126264	49.80529689235689	0	2	6454395	1815018	0.28122575684601836	0.03767656349396111	2.099541500448626	-1.8301993611728609	-4.730188808059618	1.070074305391168
start lost	non-CpG transition	178	9675	41.945	2070.087	15.549079	620.970115	178	9665	89.05700060329414	33297.537984121955	1845.408633741057	227169.7626097698	37	5807	160782109	6484763	2.180286136654224	1.8805992433776564	2.5419881005343306	1.124517484012666	0.9111924425924238	1.3459572768651802
start lost	non-CpG transversion	68	4803	2.859	193.991	0.192879	10.001205	68	4797	14.815000873059027	16165.645987509752	504.55469563531847	109129.16534603752	9	2876	116922263	4010613	2.388240356222988	1.883513568308934	3.074692696026186	1.2559480389817368	0.9134264260973607	1.6204422257124602
stop gained	CpG transition	210	12463	374.46	23473.276	752.390686	47702.643806	210	12459	-192.5919987526721	45398.39390750719	2801.3907925334775	277739.49434972624	26	8615	6454395	1815018	16.641397086257236	14.528202805948881	19.16519526886951	4.056704651251382	3.8607843420213475	4.260416792321099
stop gained	non-CpG transition	287	37762	37.702	4895.835	5.439166	689.668473	287	37726	360.1999992006459	182908.66623779025	2904.660452011011	1386824.4796270523	72	25739	160782109	6484763	5.2898756898951556	4.7106240952544045	5.960338753768068	2.4032338199425136	2.2359182104711346	2.5753943280855816
stop gained	non-CpG transversion	276	36506	14.851	1832.49	1.463107	170.027636	275	36418	210.9079978659285	107614.42773488504	2368.5895247000044	838976.1195893704	52	18291	116922263	4010613	4.522174055101027	4.0173604731436265	5.108364910269043	2.1770165214124284	2.0062479185614017	2.3528615860100452
stop lost	non-CpG transition	109	3525	12.487	397.319	2.057245	70.918967	109	3522	-25.80399935413148	6222.616006356199	841.3187081107486	43891.326613594174	19	1332	160782109	6484763	1.2928535370534084	1.0692812123587652	1.5776071189455405	0.37055884642807946	0.09664132015133904	0.657737966998502
stop lost	non-CpG transversion	88	4092	4.911	152.438	2.4273089999999997	11.092714	88	4091	5.340000564232432	8036.697003416136	284.8368242556958	51390.03217093985	5	1519	116922263	4010613	1.5775112139814647	1.2787339189250053	1.9686928541325672	0.6576502608642074	0.3547160970708769	0.9772380465444341
stop retained variant	non-CpG transition	69	2278	7.605	240.748	1.010369	29.62539	69	2277	80.83799983363134	4221.474991008755	574.4135678186416	23844.160420791464	18	770	160782109	6484763	1.3131229627758847	1.0351564528467212	1.6904961687143147	0.393002018653365	0.04984883215757321	0.7574467465577487
synonymous variant	CpG transition	12493	102860	22656.725	154268.45	47171.365675	295392.307638	12485	102837	-47030.313000700786	-252892.8610488221	389998.0452611571	2380673.1171271065	261	7128	6454395	1815018	2.3365039838562303	2.2931579332064773	2.380548600457133	1.2243514970720586	1.1973357188992693	1.2512940827580434
synonymous variant	non-CpG transition	22691	653268	3094.133	88374.038	593.690051	15054.720322	22663	652794	-3396.1540041263193	585308.2396817706	267714.1231309093	5819472.092594927	4215	174201	160782109	6484763	1.1617751838844328	1.146441549338999	1.17730090031	0.2163309185920297	0.1971628018193652	0.2354830985451506
synonymous variant	non-CpG transversion	7101	261492	467.146	16526.153	55.74488	1809.843673	7096	261275	-5153.959000281526	-44336.387192270784	98373.16536254412	3233452.8689938565	927	46460	116922263	4010613	1.263561632060351	1.2340918459748098	1.293911443742401	0.3374960355524014	0.3034497695290344	0.3717388815919651
upstream gene variant	CpG transition	87812	390458	163720.942	605625.092	353104.18506	1174748.845614	87452	389544	-81401.80496609733	-233545.38387896775	255582.9507521159	1193184.82620086	521	11788	6454395	1815018	1.2664926280426128	1.257037336783447	1.2760506159812357	0.3408386794844309	0.3300275016218658	0.35168555635734444
upstream gene variant	non-CpG transition	290263	6735057	42133.987	960233.585	8335.342379	177429.352675	289328	6717506	-95519.6479470638	97922.0022412948	499527.9647489153	8764398.552857693	4025	161797	160782109	6484763	0.9330121878948724	0.9294865214231444	0.9366217985455279	-0.1000321678289295	-0.10549415025576048	-0.09446147977632142
upstream gene variant	non-CpG transversion	185673	5041315	13563.111	291340.746	4972.616875	30816.798074	184837	5024066	-58390.133947431714	-40028.66904350345	313980.8472663142	7358262.621608815	2659	130118	116922263	4010613	0.9282698506391731	0.9238231380292665	0.932644768338141	-0.1073838330836932	-0.11431141457826029	-0.10060041203642323
