avgKHS_skew_base_bin	moeuf_bin	count_n	phyloP_mam241_base_mean	phyloP_mam241_base_sd	phyloP_mam241_base_se	phyloP_mam241_base_lci	phyloP_mam241_base_uci
(-0.2,-0.05]	5	77714	0.7442771264710941	2.3926736618782867	0.008582895749379003	0.7274546508023113	0.7610996021398769
(-0.2,-0.05]	6	76443	0.7578043724468124	2.3969623780048255	0.008669466170220793	0.7408122187531797	0.7747965261404451
(-0.2,-0.05]	7	75297	0.6790890936512093	2.322708265142747	0.008464588083923573	0.662498501006719	0.6956796862956995
(-0.2,-0.05]	8	75442	0.7068977886832387	2.330931953337408	0.0084863902439351	0.690264463805126	0.7235311135613515
(-0.2,-0.05]	9	75863	0.6526992736318386	2.301629663496752	0.008356423460803956	0.6363206836486628	0.6690778636150143
(-0.2,-0.05]	10	79072	0.6397966078276692	2.3180465369330028	0.008243483798364119	0.6236393795828755	0.6559538360724629
(-0.05,0.05]	1	154247	0.7229080691892	2.4538688025309736	0.0062480281303523965	0.7106619340537094	0.7351542043246907
(-0.05,0.05]	2	158344	0.6512722991962374	2.4206521303740574	0.006083192728437178	0.6393492414485006	0.6631953569439742
(-0.05,0.05]	3	163609	0.5319756978874363	2.2962339124687463	0.005676916829058058	0.5208489409024825	0.5431024548723901
(-0.05,0.05]	4	170457	0.43702792446692085	2.2310631954332956	0.005403864511249586	0.4264363500248717	0.44761949890897
(-0.05,0.05]	5	171518	0.3218400953899671	2.124581143481095	0.005130013059061736	0.3117852697942061	0.3318949209857281
(-0.05,0.05]	6	180172	0.32605339634615277	2.0822512350250038	0.004905570015360628	0.31643847911604595	0.3356683135762596
(-0.05,0.05]	7	185505	0.2871399151210956	2.032035306321647	0.004717951146769368	0.27789273087342764	0.29638709936876356
(-0.05,0.05]	8	189903	0.32772936708045697	2.03275036025346	0.004664640019484877	0.3185866726422666	0.33687206151864735
(-0.05,0.05]	9	192739	0.26746274499615263	1.9888474899641506	0.004530192751757537	0.25858356720270786	0.2763419227895974
(-0.05,0.05]	10	185264	0.24838153213888953	2.029206760667674	0.0047144472663895815	0.23914121549676595	0.25762184878101313
(0.05,0.2]	1	63235	0.9547517035274934	2.650369173143055	0.010539684485893342	0.9340939219351424	0.9754094851198444
(0.05,0.2]	2	65149	0.8448735661189962	2.5973419412856713	0.010175956727471366	0.8249286909331524	0.8648184413048401
(0.05,0.2]	3	65292	0.6933512069071976	2.487981632246453	0.009736820949517399	0.6742670378461435	0.7124353759682518
(0.05,0.2]	4	65712	0.503251925345422	2.412574926415951	0.009411491778421559	0.4848054014597157	0.5216984492311282
(0.05,0.2]	5	64765	0.4120964108179669	2.3270422399605013	0.009143955032415657	0.3941742589544322	0.43001856268150157
(0.05,0.2]	6	65306	0.4110180763103771	2.31445529285196	0.00905674738068169	0.393266851444241	0.42876930117651324
(0.05,0.2]	7	65903	0.34375623299190666	2.2505649400682115	0.008766756754743876	0.3265733897526087	0.36093907623120464
(0.05,0.2]	8	65731	0.35502341317295655	2.2255989729499306	0.008680840816579976	0.3380089651724598	0.3720378611734533
(0.05,0.2]	9	65297	0.363814616218128	2.23763487611533	0.008756743085816589	0.3466513997699275	0.3809778326663285
(0.05,0.2]	10	66474	0.3701240957787395	2.257436310370021	0.008755674338872836	0.35296297407454874	0.38728521748293027
(0.2,0.5]	1	16133	1.4117903042783717	2.873808184313332	0.022625605493337426	1.3674441175114302	1.4561364910453132
(0.2,0.5]	2	17191	1.2687497527596727	2.7849574116591853	0.02124065906207697	1.227118060998002	1.3103814445213435
(0.2,0.5]	3	16949	1.126787716001638	2.6674469013442126	0.02048914062526566	1.0866290003761172	1.1669464316271587
(0.2,0.5]	4	16734	0.8738438312221789	2.6133797053588466	0.020202384469570265	0.8342471576618212	0.9134405047825366
(0.2,0.5]	5	16429	0.7427620740380565	2.56095807515409	0.01998006533258381	0.7036011459861923	0.7819230020899207
(0.2,0.5]	6	16494	0.7303640509626526	2.534872821153525	0.019737547119748247	0.691678458607946	0.7690496433173591
(0.2,0.5]	7	16136	0.6433975815704609	2.420640646879836	0.019056027856110977	0.6060477669724834	0.6807473961684384
(0.2,0.5]	8	15918	0.6392641658245347	2.4676744982674452	0.019558863815427496	0.6009287927462968	0.6775995389027726
(0.2,0.5]	9	16143	0.6758210985132616	2.447625122621847	0.01926427986011286	0.6380631099874403	0.7135790870390828
(0.2,0.5]	10	16764	0.6716124636643388	2.4735037996401235	0.019103975643810785	0.6341686714024697	0.7090562559262079
(0.5,1]	1	1858	1.9034074267816856	3.140743268646524	0.0728634251842032	1.7605951134206475	2.046219740142724
(0.5,1]	2	2263	1.925040209327915	3.0763541411203446	0.06466868825520451	1.7982895803477144	2.051790838308116
(0.5,1]	3	2232	1.7871415742767276	2.9380815966209655	0.062189455984630854	1.6652502405468512	1.909032908006604
(0.5,1]	4	2073	1.4070294259728813	2.9773515324396347	0.06539287977588853	1.2788593816121399	1.5351994703336227
(0.5,1]	5	2247	1.276559409789985	2.8803003591750374	0.060762585104503594	1.1574647429851581	1.395654076594812
(0.5,1]	6	2171	1.1306046098230873	2.771656956206636	0.05948528758758369	1.0140134461514232	1.2471957734947514
(0.5,1]	7	2155	1.0856477959230086	2.74220324257541	0.05907122848010696	0.969868188101999	1.2014274037440182
(0.5,1]	8	2059	0.9900101994673377	2.6094364322547348	0.05750671347922181	0.8772970410480629	1.1027233578866125
(0.5,1]	9	2109	1.0049753413591842	2.6428418169625196	0.057548350502511045	0.8921805743742626	1.1177701083441058
(0.5,1]	10	2219	1.2221865380265848	2.7590151998874433	0.05857002939253051	1.107389280417225	1.3369837956359447
(1,1.5]	1	82	2.2336219502385797	3.2097845973517676	0.35446141145709253	1.5388775837826785	2.928366316694481
(1,1.5]	2	97	3.175041247178445	3.2331823719079744	0.3282799322494381	2.5316125799695466	3.8184699143873435
(1,1.5]	3	105	2.0180857074358283	3.2456782733232723	0.31674576637036506	1.3972640053499128	2.6389074095217437
(1,1.5]	4	148	1.5585067448059937	3.245414564732473	0.26677143391403774	1.0356347343344798	2.0813787552775076
(1,1.5]	5	133	2.4084661698942176	3.1381481921153433	0.2721119583227307	1.8751267315816653	2.94180560820677
(1,1.5]	6	117	1.654068389859719	3.353329892204443	0.3100154582022885	1.0464380917832337	2.2616986879362044
(1,1.5]	7	142	1.7018521100407291	3.1924118682842675	0.2679012527869263	1.1767656545783536	2.2269385655031044
(1,1.5]	8	127	1.3604488429562074	2.756397688953118	0.24459074318320817	0.8810509863171194	1.8398466995952953
(1,1.5]	9	119	1.8344537784020658	3.188342532988727	0.29227488080018865	1.261595012033696	2.4073125447704355
(1,1.5]	10	152	2.31737161905983	3.1877079837280493	0.25855725963512094	1.810599390174993	2.824143847944667
