avgKHS_skew_base_bin	s_het_bin	count_n	phyloP_mam241_base_mean	phyloP_mam241_base_sd	phyloP_mam241_base_se	phyloP_mam241_base_lci	phyloP_mam241_base_uci
(0.05,0.2]	7	64491	0.5698861493695947	2.438312407742034	0.009601515626215454	0.5510671787422124	0.5887051199969769
(0.05,0.2]	8	66261	0.8769078492631545	2.5837046613148744	0.010037229995281585	0.8572348784724025	0.8965808200539064
(0.05,0.2]	9	66456	1.1721505502010956	2.692085739803553	0.010442916099742931	1.1516824346455994	1.1926186657565918
(0.05,0.2]	10	64774	1.4641329078600955	2.854153893240809	0.01121442543585111	1.4421526340058273	1.4861131817143638
(0.2,0.5]	1	14956	0.1543277378923712	1.9800059259474634	0.016190444111533475	0.12259446743376559	0.1860610083509768
(0.2,0.5]	2	15528	0.23348592423346126	2.1043353655668047	0.016887182344481073	0.20038704683827835	0.2665848016286442
(0.2,0.5]	3	16270	0.32528027496460754	2.263823129394796	0.017747971240973628	0.2904942513322992	0.36006629859691586
(0.2,0.5]	4	16432	0.5316904128828507	2.421199929551794	0.018887976749901524	0.4946699784530437	0.5687108473126576
(0.2,0.5]	5	16158	0.5613424313602837	2.457177224337894	0.019330481826696378	0.5234546869799588	0.5992301757406087
(0.2,0.5]	6	17065	0.7817876943258196	2.5633019591095887	0.019622151437802503	0.7433282775077267	0.8202471111439126
(0.2,0.5]	7	16718	1.0173906798865642	2.6411698434083957	0.020426980271516296	0.9773537985543922	1.057427561218736
(0.2,0.5]	8	17444	1.3290298088642931	2.7647014076151324	0.02093269736373314	1.2880017220313762	1.37005789569721
(0.2,0.5]	9	17789	1.7030434528225862	2.8821636619405493	0.021609408071147404	1.6606890130031373	1.745397892642035
(0.2,0.5]	10	16924	1.9885276534476648	2.9903220463400784	0.022986161535238008	1.9434747768385983	2.033580530056731
(0.5,1]	1	2123	0.3623382009623837	2.2421035857731706	0.048660960399946655	0.2669627185784883	0.45771368334627915
(0.5,1]	2	2149	0.6009026102624367	2.459911910383252	0.05306416656568742	0.49689684379368937	0.7049083767311841
(0.5,1]	3	2162	0.7785314519037927	2.5078191599879416	0.053934712902502825	0.6728194146148871	0.8842434891926982
(0.5,1]	4	2173	0.9594246186210816	2.644030230096546	0.056720043222065065	0.8482533339058341	1.0705959033363293
(0.5,1]	5	2089	1.0586615591721242	2.8186002163543544	0.06166862438799427	0.9377910553716555	1.179532062972593
(0.5,1]	6	2240	1.3969580358562648	2.8583515180673698	0.0603936986751088	1.2785863864530516	1.515329685259478
(0.5,1]	7	2195	1.5345653752511	2.886311680537049	0.06160641890795706	1.413816794191504	1.6553139563106958
(0.5,1]	8	2244	2.1653983941354706	3.060861492294839	0.06461483674747295	2.0387533141104237	2.2920434741605176
(0.5,1]	9	2173	2.2947827807695225	3.023016708250554	0.06485010511651194	2.1676765747411593	2.4218889867978857
(0.5,1]	10	1984	2.6930594762085205	3.2763507206480287	0.07355624509095385	2.548889235830251	2.83722971658679
(1,1.5]	1	133	1.0676315761822508	2.594034125784054	0.22493128517531383	0.6267662572386357	1.508496895125866
(1,1.5]	2	142	0.7770704250343301	2.5536214110353797	0.21429514842881778	0.3570519341138473	1.1970889159548128
(1,1.5]	3	137	1.2107080314597323	3.0040661280942085	0.2566546900824827	0.7076648388980662	1.7137512240213983
(1,1.5]	4	122	1.934247936526206	3.0504995636252374	0.2761792537951881	1.3929365990876375	2.4755592739647745
(1,1.5]	5	122	1.8700655619461153	3.417767557034276	0.3094301355760142	1.2635824962171274	2.476548627675103
(1,1.5]	6	109	1.6513211162965915	3.046523631580064	0.2918040412874784	1.079385195373134	2.223257037220049
(1,1.5]	7	156	2.504993590621803	3.4864408732200673	0.2791386701896626	1.9578817970500642	3.0521053841935415
(1,1.5]	8	92	3.527228264462042	3.1271937183209895	0.32603248290933307	2.8882045979597493	4.166251930964335
(1,1.5]	9	105	3.0639428598706475	3.103191699908936	0.30284050063144136	2.4703754786330223	3.6575102411082727
(1,1.5]	10	98	3.8753265339158935	3.388369571475725	0.34227701445094877	3.204463585592034	4.546189482239753
