skew_type	skew_bin	ccre_class	COMMON	SINGLETON	gw_COMMON	gw_SINGLETON	odds	lci	uci	log2odds	log2lci	log2uci
SKNSH_skew	[-0.2,-0.05)	pELS	7098	92916	3204935	25747115	1.631532613412929	1.5925688695878193	1.6716444269608006	0.7062278263748171	0.671355762223775	0.7412680065010688
SKNSH_skew	[-0.5,-0.2)	Other cCREs	1816	34038	3204935	25747115	2.333679804204152	2.2259224183740574	2.447840442446219	1.222606627636422	1.1544033103000353	1.2915095219220094
SKNSH_skew	[-0.5,-0.2)	PLS	285	7200	3204935	25747115	3.1347329135461517	2.78497953242553	3.54027249920403	1.6483425273280325	1.477666724844771	1.8238604106246379
SKNSH_skew	[-0.5,-0.2)	dELS	5044	101728	3204935	25747115	2.5159957835542452	2.445947277367183	2.5887912013968917	1.3311295044705893	1.2903933067677233	1.372278609557505
SKNSH_skew	[-0.5,-0.2)	non-cCRE	15144	273640	3204935	25747115	2.2624887141454426	2.225766116306407	2.3000305016280076	1.1779105956932965	1.1543020021261972	1.2016529934547302
SKNSH_skew	[-0.5,-0.2)	pELS	916	19029	3204935	25747115	2.584386089638522	2.4183340724650386	2.764493845500329	1.3698216149227225	1.274013554511518	1.4670153598699096
SKNSH_skew	[-1.0,-0.5)	Other cCREs	336	7305	3204935	25747115	2.6990966889271304	2.4195509120204526	3.0196334959180184	1.4324766589600624	1.2747392966218838	1.5943734549448465
SKNSH_skew	[-1.0,-0.5)	PLS	53	2137	3204935	25747115	4.928714096587459	3.7627803241329976	6.583633721046792	2.301211296002352	1.911799065505981	2.718884073984233
SKNSH_skew	[-1.0,-0.5)	dELS	832	23600	3204935	25747115	3.5290823960358813	3.293101369644485	3.786049628706307	1.8192931141540907	1.7194469222680544	1.9206933224571494
SKNSH_skew	[-1.0,-0.5)	non-cCRE	1600	37380	3204935	25747115	2.909140149118385	2.767234461751578	3.0603747502550807	1.540592800586602	1.4684448855365895	1.6137083252157238
SKNSH_skew	[-1.0,-0.5)	pELS	131	4338	3204935	25747115	4.092248501048663	3.4410282739573526	4.903610103232734	2.0328937551382458	1.782839746341234	2.293844271749965
SKNSH_skew	[-1.5,-1.0)	Other cCREs	67	1482	3204935	25747115	2.7148080397947756	2.1284902532807086	3.51485388723157	1.440850190726907	1.089830483788504	1.8134647175914747
SKNSH_skew	[-1.5,-1.0)	PLS	13	535	3204935	25747115	4.76578933814834	2.815523864837682	8.778131207958971	2.2527151815899358	1.493403379459313	3.1339138345239435
SKNSH_skew	[-1.5,-1.0)	dELS	165	5101	3204935	25747115	3.8263696721583753	3.277903433434786	4.4932197450758995	1.9359762616678542	1.7127733534743315	2.1677496199247677
