skew_type	skew_bin_coarse	ccre_class	indel_type	indel_len_coarse	COMMON	SINGLETON	gw_COMMON	gw_SINGLETON	odds	lci	uci	log2odds	log2lci	log2uci
HepG2_skew	[-0.5,-0.2)	non-cCRE	Deletion	1 bp	2095	66309	3204935	25747115	3.945613678711196	3.7772439675998646	4.122491773245876	1.9802497064183229	1.9173339687078004	2.043516614655048
HepG2_skew	[-0.5,-0.2)	non-cCRE	Deletion	2-4 bp	2492	51135	3204935	25747115	2.556354330983166	2.4553939852319187	2.662216249382847	1.3540878191186352	1.2959545336788283	1.4126277648038557
HepG2_skew	[-0.5,-0.2)	non-cCRE	Deletion	5-9 bp	1715	33972	3204935	25747115	2.466315189229632	2.3494011337427914	2.590370529966359	1.3023571845262758	1.2322930582859257	1.373158477645783
HepG2_skew	[-0.5,-0.2)	non-cCRE	Deletion	10+ bp	1654	24703	3204935	25747115	1.8588847428953648	1.7684805507123786	1.9549248928959015	0.8944373210867845	0.8225103527424821	0.9671131810732454
HepG2_skew	[-0.5,-0.2)	non-cCRE	Insertion	1 bp	992	17526	3204935	25747115	2.1979138348356635	2.0616029940949665	2.3452871782468354	1.1361348291934557	1.0437665375579503	1.2297645902312908
HepG2_skew	[-0.5,-0.2)	non-cCRE	Insertion	2-4 bp	1210	17155	3204935	25747115	1.7639565327879694	1.6639979561354248	1.871365442969725	0.818815010609789	0.7346536614386819	0.904091317679918
HepG2_skew	[-0.5,-0.2)	non-cCRE	Insertion	5-9 bp	1363	15196	3204935	25747115	1.38709377854769	1.3122227247011664	1.4671765834620132	0.4720653285931106	0.3920126106198898	0.5530425184234544
HepG2_skew	[-0.5,-0.2)	non-cCRE	Insertion	10+ bp	6336	52558	3204935	25747115	1.0324826353066854	1.0058622372708952	1.059947551494499	0.046117518044142325	0.00843272739410162	0.08399287887258187
HepG2_skew	[-0.5,-0.2)	Other cCREs	Deletion	1 bp	320	10705	3204935	25747115	4.152888767461315	3.7164965864158237	4.6550318859583975	2.054115230592221	1.8939432829084797	2.218791049965917
HepG2_skew	[-0.5,-0.2)	Other cCREs	Deletion	2-4 bp	325	6587	3204935	25747115	2.5159040047450745	2.250869512628411	2.820322092569976	1.3310768767003893	1.1704824233222781	1.49585993383617
HepG2_skew	[-0.5,-0.2)	Other cCREs	Deletion	5-9 bp	168	3020	3204935	25747115	2.22527267069419	1.9053665955834949	2.613905364332367	1.1539821255424705	0.9300686012607682	1.3862069097332401
HepG2_skew	[-0.5,-0.2)	Other cCREs	Deletion	10+ bp	173	2677	3204935	25747115	1.9159030078903354	1.6430124797046701	2.2464589725611854	0.93802452684783	0.7163434384983719	1.1676527139321218
HepG2_skew	[-0.5,-0.2)	Other cCREs	Insertion	1 bp	159	3087	3204935	25747115	2.4025854772764808	2.0490291640823446	2.8340997362268916	1.2645877589695618	1.0349405185500091	1.5028905297548973
HepG2_skew	[-0.5,-0.2)	Other cCREs	Insertion	2-4 bp	195	2656	3204935	25747115	1.6875024412967772	1.4591282481134906	1.9611549210170618	0.7548895893007759	0.5451066925676119	0.9717035054204215
