skew_type	skew_bin_coarse	ccre_class	indel_type	COMMON	SINGLETON	gw_COMMON	gw_SINGLETON	odds	lci	uci	log2odds	log2lci	log2uci
K562_skew	[-0.2,-0.05)	pELS	Deletion	5473	60501	3204935	25747115	1.3766864934278262	1.3390685372310898	1.415648242947126	0.4612000584761261	0.4212298036741229	0.5014628323707224
K562_skew	[-0.2,-0.05)	pELS	Insertion	2818	31882	3204935	25747115	1.408350788938022	1.355029100466616	1.4641820912753716	0.4940067220641428	0.4383238350832493	0.5500949838432446
K562_skew	[-0.2,-0.05)	dELS	Deletion	33927	388126	3204935	25747115	1.430477168192573	1.4146132522736339	1.4465603431946172	0.5164964710282962	0.5004076818264394	0.53262650647651
K562_skew	[-0.2,-0.05)	dELS	Insertion	15606	170768	3204935	25747115	1.3644273629327848	1.3422054909484475	1.3871167698103637	0.4482955929073953	0.42460556429303026	0.4720892412558777
K562_skew	[-0.2,-0.05)	non-cCRE	Deletion	223091	2030702	3204935	25747115	1.1444485612065367	1.1392515676154935	1.149682132393488	0.19465262046462672	0.18808635571765248	0.20123503559629421
K562_skew	[-0.2,-0.05)	non-cCRE	Insertion	93491	757179	3204935	25747115	1.0083741733256393	1.001453934689263	1.0153868363916847	0.012031073197850657	0.0020960609670757635	0.022029462013403753
K562_skew	[-0.2,-0.05)	Other cCREs	Deletion	16916	154340	3204935	25747115	1.1365018350969671	1.1185387398826567	1.1547572038370983	0.18460001366139786	0.16161522409370385	0.20758954632346363
K562_skew	[-0.2,-0.05)	Other cCREs	Insertion	6942	64853	3204935	25747115	1.1631743501610248	1.1346521411987884	1.192501248333709	0.2180673610074434	0.1822500674825588	0.25399077647305823
K562_skew	[-0.05,0.05)	PLS	Deletion	1695	21660	3204935	25747115	1.590299771286749	1.513540047424675	1.6718730014004264	0.6692987389594163	0.5979268485758056	0.741465261767776
K562_skew	[-0.05,0.05)	PLS	Insertion	2018	14423	3204935	25747115	0.889238341666098	0.8486656573187672	0.9320870725734759	-0.1693579398884123	-0.23673179732879227	-0.10146336178645575
K562_skew	[-0.05,0.05)	pELS	Deletion	16189	198120	3204935	25747115	1.52731875100656	1.5029207850401163	1.5521748569014597	0.6110011836191939	0.5877689706371698	0.6342910903696755
K562_skew	[-0.05,0.05)	pELS	Insertion	18093	102845	3204935	25747115	0.7063582582370541	0.6952224029350115	0.7176462764521153	-0.5015280044685283	-0.5244535223977574	-0.4786551713869111
K562_skew	[-0.05,0.05)	dELS	Deletion	105682	1335670	3204935	25747115	1.6045643430067211	1.5944046474677418	1.614870102324657	0.6821816428297548	0.6730178205510812	0.6914181214089634
K562_skew	[-0.05,0.05)	dELS	Insertion	113175	640867	3204935	25747115	0.6973326495674453	0.6928859185598691	0.7018634801255743	-0.5200810637626967	-0.5293102580751822	-0.5107376565222573
K562_skew	[-0.05,0.05)	non-cCRE	Deletion	928206	9640323	3204935	25747115	1.4680767160981312	1.464320171527601	1.4718557552899636	0.5539273598994338	0.5502310313360631	0.557636291418929
K562_skew	[-0.05,0.05)	non-cCRE	Insertion	1001379	4643398	3204935	25747115	0.4841702464494408	0.48295056764823446	0.485444478187308	-1.0464136702773832	-1.0500525651604504	-1.0426217953795818
K562_skew	[-0.05,0.05)	Other cCREs	Deletion	58399	586372	3204935	25747115	1.2556455579261778	1.2449223161499945	1.266518366899527	0.3284292795262952	0.316055720123211	0.34086799899492953
K562_skew	[-0.05,0.05)	Other cCREs	Insertion	59426	284971	3204935	25747115	0.5924013314709524	0.5871685252607833	0.5977073363830457	-0.7553532116806195	-0.7681534592457508	-0.7424888440788686
