skew_type	skew_bin	ccre_class	indel_class	n
HepG2_skew	[-0.2,-0.05)	pELS	ins_9	3011
HepG2_skew	[-0.5,-0.2)	Other cCREs	del_1	18585
HepG2_skew	[-0.5,-0.2)	Other cCREs	del_10plus	5563
HepG2_skew	[-0.5,-0.2)	Other cCREs	del_2	5074
HepG2_skew	[-0.5,-0.2)	Other cCREs	del_3	3567
HepG2_skew	[-0.5,-0.2)	Other cCREs	del_4	4354
HepG2_skew	[-0.5,-0.2)	Other cCREs	del_5	1606
HepG2_skew	[-0.5,-0.2)	Other cCREs	del_6	1379
HepG2_skew	[-0.5,-0.2)	Other cCREs	del_7	1176
HepG2_skew	[-0.5,-0.2)	Other cCREs	del_8	1269
HepG2_skew	[-0.5,-0.2)	Other cCREs	del_9	609
HepG2_skew	[-0.5,-0.2)	Other cCREs	ins_1	5604
HepG2_skew	[-0.5,-0.2)	Other cCREs	ins_10plus	11351
HepG2_skew	[-0.5,-0.2)	Other cCREs	ins_2	2132
HepG2_skew	[-0.5,-0.2)	Other cCREs	ins_3	1328
HepG2_skew	[-0.5,-0.2)	Other cCREs	ins_4	1699
HepG2_skew	[-0.5,-0.2)	Other cCREs	ins_5	764
HepG2_skew	[-0.5,-0.2)	Other cCREs	ins_6	817
HepG2_skew	[-0.5,-0.2)	Other cCREs	ins_7	511
HepG2_skew	[-0.5,-0.2)	Other cCREs	ins_8	694
HepG2_skew	[-0.5,-0.2)	Other cCREs	ins_9	1183
HepG2_skew	[-0.5,-0.2)	PLS	del_1	3186
HepG2_skew	[-0.5,-0.2)	PLS	del_10plus	1417
HepG2_skew	[-0.5,-0.2)	PLS	del_2	558
HepG2_skew	[-0.5,-0.2)	PLS	del_3	419
HepG2_skew	[-0.5,-0.2)	PLS	del_4	349
HepG2_skew	[-0.5,-0.2)	PLS	del_5	214
HepG2_skew	[-0.5,-0.2)	PLS	del_6	203
HepG2_skew	[-0.5,-0.2)	PLS	del_7	161
HepG2_skew	[-0.5,-0.2)	PLS	del_8	196
HepG2_skew	[-0.5,-0.2)	PLS	del_9	117
HepG2_skew	[-0.5,-0.2)	PLS	ins_1	1454
HepG2_skew	[-0.5,-0.2)	PLS	ins_10plus	2032
HepG2_skew	[-0.5,-0.2)	PLS	ins_2	466
HepG2_skew	[-0.5,-0.2)	PLS	ins_3	275
HepG2_skew	[-0.5,-0.2)	PLS	ins_4	319
HepG2_skew	[-0.5,-0.2)	PLS	ins_5	208
HepG2_skew	[-0.5,-0.2)	PLS	ins_6	245
HepG2_skew	[-0.5,-0.2)	PLS	ins_7	168
HepG2_skew	[-0.5,-0.2)	PLS	ins_8	165
HepG2_skew	[-0.5,-0.2)	PLS	ins_9	284
HepG2_skew	[-0.5,-0.2)	dELS	del_1	58907
HepG2_skew	[-0.5,-0.2)	dELS	del_10plus	15911
HepG2_skew	[-0.5,-0.2)	dELS	del_2	15847
HepG2_skew	[-0.5,-0.2)	dELS	del_3	10694
HepG2_skew	[-0.5,-0.2)	dELS	del_4	12971
HepG2_skew	[-0.5,-0.2)	dELS	del_5	4637
HepG2_skew	[-0.5,-0.2)	dELS	del_6	3850
HepG2_skew	[-0.5,-0.2)	dELS	del_7	3246
HepG2_skew	[-0.5,-0.2)	dELS	del_8	3429
HepG2_skew	[-0.5,-0.2)	dELS	del_9	1750
HepG2_skew	[-0.5,-0.2)	dELS	ins_1	18540
HepG2_skew	[-0.5,-0.2)	dELS	ins_10plus	29469
HepG2_skew	[-0.5,-0.2)	dELS	ins_2	6631
HepG2_skew	[-0.5,-0.2)	dELS	ins_3	4131
HepG2_skew	[-0.5,-0.2)	dELS	ins_4	5073
HepG2_skew	[-0.5,-0.2)	dELS	ins_5	2370
HepG2_skew	[-0.5,-0.2)	dELS	ins_6	2378
HepG2_skew	[-0.5,-0.2)	dELS	ins_7	1663
HepG2_skew	[-0.5,-0.2)	dELS	ins_8	1967
HepG2_skew	[-0.5,-0.2)	dELS	ins_9	3334
HepG2_skew	[-0.5,-0.2)	non-cCRE	del_1	114387
HepG2_skew	[-0.5,-0.2)	non-cCRE	del_10plus	51852
HepG2_skew	[-0.5,-0.2)	non-cCRE	del_2	34355
HepG2_skew	[-0.5,-0.2)	non-cCRE	del_3	28430
HepG2_skew	[-0.5,-0.2)	non-cCRE	del_4	40544
HepG2_skew	[-0.5,-0.2)	non-cCRE	del_5	20007
HepG2_skew	[-0.5,-0.2)	non-cCRE	del_6	14477
HepG2_skew	[-0.5,-0.2)	non-cCRE	del_7	13420
HepG2_skew	[-0.5,-0.2)	non-cCRE	del_8	12868
HepG2_skew	[-0.5,-0.2)	non-cCRE	del_9	7007
HepG2_skew	[-0.5,-0.2)	non-cCRE	ins_1	32557
HepG2_skew	[-0.5,-0.2)	non-cCRE	ins_10plus	129092
HepG2_skew	[-0.5,-0.2)	non-cCRE	ins_2	14031
HepG2_skew	[-0.5,-0.2)	non-cCRE	ins_3	8276
HepG2_skew	[-0.5,-0.2)	non-cCRE	ins_4	10776
HepG2_skew	[-0.5,-0.2)	non-cCRE	ins_5	5809
HepG2_skew	[-0.5,-0.2)	non-cCRE	ins_6	5953
HepG2_skew	[-0.5,-0.2)	non-cCRE	ins_7	4337
HepG2_skew	[-0.5,-0.2)	non-cCRE	ins_8	6084
HepG2_skew	[-0.5,-0.2)	non-cCRE	ins_9	10275
HepG2_skew	[-0.5,-0.2)	pELS	del_1	9962
HepG2_skew	[-0.5,-0.2)	pELS	del_10plus	3308
HepG2_skew	[-0.5,-0.2)	pELS	del_2	2614
HepG2_skew	[-0.5,-0.2)	pELS	del_3	1819
HepG2_skew	[-0.5,-0.2)	pELS	del_4	2014
HepG2_skew	[-0.5,-0.2)	pELS	del_5	781
HepG2_skew	[-0.5,-0.2)	pELS	del_6	767
HepG2_skew	[-0.5,-0.2)	pELS	del_7	573
HepG2_skew	[-0.5,-0.2)	pELS	del_8	663
HepG2_skew	[-0.5,-0.2)	pELS	del_9	329
HepG2_skew	[-0.5,-0.2)	pELS	ins_1	3810
HepG2_skew	[-0.5,-0.2)	pELS	ins_10plus	5864
HepG2_skew	[-0.5,-0.2)	pELS	ins_2	1244
HepG2_skew	[-0.5,-0.2)	pELS	ins_3	909
HepG2_skew	[-0.5,-0.2)	pELS	ins_4	965
HepG2_skew	[-0.5,-0.2)	pELS	ins_5	508
HepG2_skew	[-0.5,-0.2)	pELS	ins_6	505
HepG2_skew	[-0.5,-0.2)	pELS	ins_7	370
HepG2_skew	[-0.5,-0.2)	pELS	ins_8	413
HepG2_skew	[-0.5,-0.2)	pELS	ins_9	674
HepG2_skew	[-1.0,-0.5)	Other cCREs	del_1	4270
HepG2_skew	[-1.0,-0.5)	Other cCREs	del_10plus	1533
HepG2_skew	[-1.0,-0.5)	Other cCREs	del_2	1056
HepG2_skew	[-1.0,-0.5)	Other cCREs	del_3	711
HepG2_skew	[-1.0,-0.5)	Other cCREs	del_4	787
HepG2_skew	[-1.0,-0.5)	Other cCREs	del_5	278
HepG2_skew	[-1.0,-0.5)	Other cCREs	del_6	308
HepG2_skew	[-1.0,-0.5)	Other cCREs	del_7	253
HepG2_skew	[-1.0,-0.5)	Other cCREs	del_8	267
HepG2_skew	[-1.0,-0.5)	Other cCREs	del_9	149
HepG2_skew	[-1.0,-0.5)	Other cCREs	ins_1	1211
HepG2_skew	[-1.0,-0.5)	Other cCREs	ins_10plus	452
HepG2_skew	[-1.0,-0.5)	Other cCREs	ins_2	430
HepG2_skew	[-1.0,-0.5)	Other cCREs	ins_3	178
HepG2_skew	[-1.0,-0.5)	Other cCREs	ins_4	247
HepG2_skew	[-1.0,-0.5)	Other cCREs	ins_5	92
HepG2_skew	[-1.0,-0.5)	Other cCREs	ins_6	84
HepG2_skew	[-1.0,-0.5)	Other cCREs	ins_7	53
HepG2_skew	[-1.0,-0.5)	Other cCREs	ins_8	80
HepG2_skew	[-1.0,-0.5)	Other cCREs	ins_9	60
HepG2_skew	[-1.0,-0.5)	PLS	del_1	918
