skew_type	skew_bin	ccre_class	af_class	n
HepG2_skew	[1.5,Inf)	Other cCREs	LOW_FREQ	15
HepG2_skew	[1.5,Inf)	Other cCREs	RARE	40
HepG2_skew	[1.5,Inf)	Other cCREs	SINGLETON	221
HepG2_skew	[1.5,Inf)	Other cCREs	ULTRARARE	145
HepG2_skew	[1.5,Inf)	PLS	LOW_FREQ	1
HepG2_skew	[1.5,Inf)	PLS	RARE	2
HepG2_skew	[1.5,Inf)	PLS	SINGLETON	36
HepG2_skew	[1.5,Inf)	PLS	ULTRARARE	19
HepG2_skew	[1.5,Inf)	dELS	COMMON	26
HepG2_skew	[1.5,Inf)	dELS	LOW_FREQ	41
HepG2_skew	[1.5,Inf)	dELS	RARE	117
HepG2_skew	[1.5,Inf)	dELS	SINGLETON	880
HepG2_skew	[1.5,Inf)	dELS	ULTRARARE	563
HepG2_skew	[1.5,Inf)	non-cCRE	COMMON	82
HepG2_skew	[1.5,Inf)	non-cCRE	LOW_FREQ	114
HepG2_skew	[1.5,Inf)	non-cCRE	RARE	301
HepG2_skew	[1.5,Inf)	non-cCRE	SINGLETON	1673
HepG2_skew	[1.5,Inf)	non-cCRE	ULTRARARE	1173
HepG2_skew	[1.5,Inf)	pELS	COMMON	4
HepG2_skew	[1.5,Inf)	pELS	LOW_FREQ	11
HepG2_skew	[1.5,Inf)	pELS	RARE	20
HepG2_skew	[1.5,Inf)	pELS	SINGLETON	161
HepG2_skew	[1.5,Inf)	pELS	ULTRARARE	113
K562_skew	(-Inf,-1.5)	Other cCREs	COMMON	45
K562_skew	(-Inf,-1.5)	Other cCREs	LOW_FREQ	44
K562_skew	(-Inf,-1.5)	Other cCREs	RARE	111
K562_skew	(-Inf,-1.5)	Other cCREs	SINGLETON	1021
K562_skew	(-Inf,-1.5)	Other cCREs	ULTRARARE	622
K562_skew	(-Inf,-1.5)	PLS	COMMON	7
K562_skew	(-Inf,-1.5)	PLS	LOW_FREQ	8
K562_skew	(-Inf,-1.5)	PLS	RARE	44
K562_skew	(-Inf,-1.5)	PLS	SINGLETON	437
K562_skew	(-Inf,-1.5)	PLS	ULTRARARE	244
K562_skew	(-Inf,-1.5)	dELS	COMMON	107
K562_skew	(-Inf,-1.5)	dELS	LOW_FREQ	139
K562_skew	(-Inf,-1.5)	dELS	RARE	328
K562_skew	(-Inf,-1.5)	dELS	SINGLETON	3260
K562_skew	(-Inf,-1.5)	dELS	ULTRARARE	1922
K562_skew	(-Inf,-1.5)	non-cCRE	COMMON	136
K562_skew	(-Inf,-1.5)	non-cCRE	LOW_FREQ	143
K562_skew	(-Inf,-1.5)	non-cCRE	RARE	328
K562_skew	(-Inf,-1.5)	non-cCRE	SINGLETON	3368
K562_skew	(-Inf,-1.5)	non-cCRE	ULTRARARE	1913
K562_skew	(-Inf,-1.5)	pELS	COMMON	14
K562_skew	(-Inf,-1.5)	pELS	LOW_FREQ	23
K562_skew	(-Inf,-1.5)	pELS	RARE	60
K562_skew	(-Inf,-1.5)	pELS	SINGLETON	619
K562_skew	(-Inf,-1.5)	pELS	ULTRARARE	366
K562_skew	[-0.05,0.05)	Other cCREs	COMMON	117825
K562_skew	[-0.05,0.05)	Other cCREs	LOW_FREQ	97449
K562_skew	[-0.05,0.05)	Other cCREs	RARE	177740
K562_skew	[-0.05,0.05)	Other cCREs	SINGLETON	871343
K562_skew	[-0.05,0.05)	Other cCREs	ULTRARARE	645807
K562_skew	[-0.05,0.05)	PLS	COMMON	3713
K562_skew	[-0.05,0.05)	PLS	LOW_FREQ	3344
K562_skew	[-0.05,0.05)	PLS	RARE	6573
K562_skew	[-0.05,0.05)	PLS	SINGLETON	36083
K562_skew	[-0.05,0.05)	PLS	ULTRARARE	25874
K562_skew	[-0.05,0.05)	dELS	COMMON	218857
K562_skew	[-0.05,0.05)	dELS	LOW_FREQ	186330
K562_skew	[-0.05,0.05)	dELS	RARE	343856
K562_skew	[-0.05,0.05)	dELS	SINGLETON	1976537
K562_skew	[-0.05,0.05)	dELS	ULTRARARE	1380740
K562_skew	[-0.05,0.05)	non-cCRE	COMMON	1929585
K562_skew	[-0.05,0.05)	non-cCRE	LOW_FREQ	1672045
K562_skew	[-0.05,0.05)	non-cCRE	RARE	3042135
K562_skew	[-0.05,0.05)	non-cCRE	SINGLETON	14283721
K562_skew	[-0.05,0.05)	non-cCRE	ULTRARARE	10817601
K562_skew	[-0.05,0.05)	pELS	COMMON	34282
K562_skew	[-0.05,0.05)	pELS	LOW_FREQ	29263
K562_skew	[-0.05,0.05)	pELS	RARE	54882
K562_skew	[-0.05,0.05)	pELS	SINGLETON	300965
K562_skew	[-0.05,0.05)	pELS	ULTRARARE	215891
K562_skew	[-0.2,-0.05)	Other cCREs	COMMON	23858
K562_skew	[-0.2,-0.05)	Other cCREs	LOW_FREQ	23799
K562_skew	[-0.2,-0.05)	Other cCREs	RARE	45330
K562_skew	[-0.2,-0.05)	Other cCREs	SINGLETON	219193
K562_skew	[-0.2,-0.05)	Other cCREs	ULTRARARE	160830
K562_skew	[-0.2,-0.05)	PLS	COMMON	1373
K562_skew	[-0.2,-0.05)	PLS	LOW_FREQ	1568
K562_skew	[-0.2,-0.05)	PLS	RARE	3340
K562_skew	[-0.2,-0.05)	PLS	SINGLETON	18086
K562_skew	[-0.2,-0.05)	PLS	ULTRARARE	13370
K562_skew	[-0.2,-0.05)	dELS	COMMON	49533
K562_skew	[-0.2,-0.05)	dELS	LOW_FREQ	51018
K562_skew	[-0.2,-0.05)	dELS	RARE	101566
K562_skew	[-0.2,-0.05)	dELS	SINGLETON	558894
K562_skew	[-0.2,-0.05)	dELS	ULTRARARE	394141
K562_skew	[-0.2,-0.05)	non-cCRE	COMMON	316582
K562_skew	[-0.2,-0.05)	non-cCRE	LOW_FREQ	324852
K562_skew	[-0.2,-0.05)	non-cCRE	RARE	632971
K562_skew	[-0.2,-0.05)	non-cCRE	SINGLETON	2787881
K562_skew	[-0.2,-0.05)	non-cCRE	ULTRARARE	2160664
K562_skew	[-0.2,-0.05)	pELS	COMMON	8291
K562_skew	[-0.2,-0.05)	pELS	LOW_FREQ	8613
K562_skew	[-0.2,-0.05)	pELS	RARE	17258
K562_skew	[-0.2,-0.05)	pELS	SINGLETON	92383
K562_skew	[-0.2,-0.05)	pELS	ULTRARARE	66681
K562_skew	[-0.5,-0.2)	Other cCREs	COMMON	2651
K562_skew	[-0.5,-0.2)	Other cCREs	LOW_FREQ	3257
K562_skew	[-0.5,-0.2)	Other cCREs	RARE	7159
K562_skew	[-0.5,-0.2)	Other cCREs	SINGLETON	41828
K562_skew	[-0.5,-0.2)	Other cCREs	ULTRARARE	28224
K562_skew	[-0.5,-0.2)	PLS	COMMON	335
K562_skew	[-0.5,-0.2)	PLS	LOW_FREQ	519
K562_skew	[-0.5,-0.2)	PLS	RARE	1210
K562_skew	[-0.5,-0.2)	PLS	SINGLETON	7713
K562_skew	[-0.5,-0.2)	PLS	ULTRARARE	5310
K562_skew	[-0.5,-0.2)	dELS	COMMON	6835
K562_skew	[-0.5,-0.2)	dELS	LOW_FREQ	8369
K562_skew	[-0.5,-0.2)	dELS	RARE	18727
K562_skew	[-0.5,-0.2)	dELS	SINGLETON	119212
K562_skew	[-0.5,-0.2)	dELS	ULTRARARE	80035
K562_skew	[-0.5,-0.2)	non-cCRE	COMMON	24141
K562_skew	[-0.5,-0.2)	non-cCRE	LOW_FREQ	31359
K562_skew	[-0.5,-0.2)	non-cCRE	RARE	68770
K562_skew	[-0.5,-0.2)	non-cCRE	SINGLETON	365162
K562_skew	[-0.5,-0.2)	non-cCRE	ULTRARARE	258443
K562_skew	[-0.5,-0.2)	pELS	COMMON	1241
K562_skew	[-0.5,-0.2)	pELS	LOW_FREQ	1647
K562_skew	[-0.5,-0.2)	pELS	RARE	3652
K562_skew	[-0.5,-0.2)	pELS	SINGLETON	22842
K562_skew	[-0.5,-0.2)	pELS	ULTRARARE	15468
K562_skew	[-1.0,-0.5)	Other cCREs	COMMON	420
K562_skew	[-1.0,-0.5)	Other cCREs	LOW_FREQ	523
K562_skew	[-1.0,-0.5)	Other cCREs	RARE	1241
K562_skew	[-1.0,-0.5)	Other cCREs	SINGLETON	9502
K562_skew	[-1.0,-0.5)	Other cCREs	ULTRARARE	5992
K562_skew	[-1.0,-0.5)	PLS	COMMON	80
K562_skew	[-1.0,-0.5)	PLS	LOW_FREQ	135
K562_skew	[-1.0,-0.5)	PLS	RARE	369
K562_skew	[-1.0,-0.5)	PLS	SINGLETON	2816
K562_skew	[-1.0,-0.5)	PLS	ULTRARARE	1814
K562_skew	[-1.0,-0.5)	dELS	COMMON	1142
K562_skew	[-1.0,-0.5)	dELS	LOW_FREQ	1440
K562_skew	[-1.0,-0.5)	dELS	RARE	3469
K562_skew	[-1.0,-0.5)	dELS	SINGLETON	29392
K562_skew	[-1.0,-0.5)	dELS	ULTRARARE	18034
K562_skew	[-1.0,-0.5)	non-cCRE	COMMON	2367
K562_skew	[-1.0,-0.5)	non-cCRE	LOW_FREQ	2992
K562_skew	[-1.0,-0.5)	non-cCRE	RARE	6695
K562_skew	[-1.0,-0.5)	non-cCRE	SINGLETON	51839
K562_skew	[-1.0,-0.5)	non-cCRE	ULTRARARE	32456
K562_skew	[-1.0,-0.5)	pELS	COMMON	197
K562_skew	[-1.0,-0.5)	pELS	LOW_FREQ	294
K562_skew	[-1.0,-0.5)	pELS	RARE	729
K562_skew	[-1.0,-0.5)	pELS	SINGLETON	5778
K562_skew	[-1.0,-0.5)	pELS	ULTRARARE	3654
K562_skew	[-1.5,-1.0)	Other cCREs	COMMON	89
K562_skew	[-1.5,-1.0)	Other cCREs	LOW_FREQ	102
K562_skew	[-1.5,-1.0)	Other cCREs	RARE	263
K562_skew	[-1.5,-1.0)	Other cCREs	SINGLETON	2186
K562_skew	[-1.5,-1.0)	Other cCREs	ULTRARARE	1334
K562_skew	[-1.5,-1.0)	PLS	COMMON	12
K562_skew	[-1.5,-1.0)	PLS	LOW_FREQ	27
K562_skew	[-1.5,-1.0)	PLS	RARE	89
K562_skew	[-1.5,-1.0)	PLS	SINGLETON	806
K562_skew	[-1.5,-1.0)	PLS	ULTRARARE	490
K562_skew	[-1.5,-1.0)	dELS	COMMON	222
K562_skew	[-1.5,-1.0)	dELS	LOW_FREQ	302
K562_skew	[-1.5,-1.0)	dELS	RARE	724
K562_skew	[-1.5,-1.0)	dELS	SINGLETON	7122
K562_skew	[-1.5,-1.0)	dELS	ULTRARARE	4345
